ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_2Sq5o6pjpk2Q7mQ,willamette,2,5,4,5,5,1,2,1,5,1,5,4,6,48,34,29,46,34,39,46,21,21,13,33
R_VKaYd13vKutFeSZ,willamette,2,6,7,4,5,2,2,1,1,1,6,7,3,66,33,26,35,41,35,82,44,22,13,45
R_2dF83QObrsarL3s,willamette,3,4,4,2,3,1,2,1,8,1,4,4,3,53,34,29,68,34,30,69,36,18,13,32
R_8dg9hDWaZuSKc6Z,willamette,2,4,2,4,4,1,2,1,7,1,4,2,4,42,25,26,44,37,30,80,11,21,13,37
R_3HTffKLS3Hx0BRT,willamette,3,3,2,4,3,1,2,1,1,1,3,2,3,48,33,29,68,38,27,84,32,22,13,25
R_2oyrfkYPI37VtW9,willamette,3,3,3,2,3,1,2,4,1,1,3,3,6,45,34,28,55,31,29,76,26,23,13,29
R_1LdOqV8VX4aM9bW,willamette,2,5,5,4,5,2,2,1,6,1,5,5,2,72,36,30,60,38,36,73,35,21,14,30
R_urnzs4hgmaq3fu9,willamette,1,2,2,4,4,1,2,6,1,1,2,2,4,61,39,26,63,38,35,69,29,23,14,34
R_2xIQbvCFSaCjptn,willamette,2,1,1,2,3,2,2,1,3,1,1,1,1,46,30,30,57,36,29,74,38,22,15,27
R_3OrKk6syeLIcN3w,willamette,1,6,7,5,4,1,2,1,2,1,6,7,9,54,34,30,68,39,37,77,31,16,15,31
R_2B4juFQQHXzLoDM,willamette,3,2,2,3,4,2,9,1,7,1,2,2,3,45,42,32,33,38,29,55,42,18,15,30
R_4TOLTdvemU5EKoV,willamette,1,3,3,4,4,1,4,3,5,1,3,3,3,65,39,25,68,46,35,70,47,18,15,36
R_2PsYrUBJD7H5Kul,willamette,2,2,2,2,3,1,2,5,1,1,2,2,8,52,33,29,56,39,30,70,28,17,15,31
R_C3aAHU5Xv1ytnvr,willamette,2,3,2,1,1,2,2,4,1,1,3,2,1,69,34,24,68,36,29,73,35,20,15,32
R_302HNVEcGR4cYyt,willamette,1,3,3,4,5,1,2,1,7,1,3,3,4,71,35,29,53,42,30,74,26,19,16,29
R_2z7Uueb4CKRZLs2,willamette,2,6,5,5,5,1,2,1,2,1,6,5,3,70,39,30,69,35,35,77,40,22,16,32
R_2bWptFcIaRkU70G,willamette,2,2,2,1,1,2,2,1,7,1,2,2,1,51,30,30,44,40,30,61,42,20,16,36
R_1kHnMlZb4A9Z8Ot,willamette,3,4,3,5,5,1,2,3,8,1,4,3,3,66,29,23,46,37,26,78,42,22,16,32
R_1g5DfwzFmfs5G8J,willamette,3,6,6,2,3,2,2,3,1,1,6,6,4,47,32,25,50,35,31,59,31,17,16,29
R_2QRMHiixCUD83Rg,willamette,1,3,2,2,3,1,2,3,4,1,3,2,4,61,38,30,73,38,37,71,38,21,16,31
R_1pL1dbiLgEw5KOM,willamette,1,4,4,3,3,2,2,5,1,1,4,4,2,70,41,28,54,40,35,77,35,19,16,31
R_1RAvjNt609pTm9j,willamette,2,1,1,1,3,2,2,1,7,1,1,1,1,61,39,32,62,37,32,83,34,22,17,32
R_1QbGX3qAXNFrYJt,willamette,2,2,2,1,1,2,2,1,1,1,2,2,3,43,35,29,66,32,24,55,25,18,17,30
R_2YAkbZbmpi5SF3s,willamette,2,1,1,1,1,2,2,1,1,1,1,1,0,68,36,32,61,34,29,84,23,21,17,33
R_08MSceiScQuWWMV,willamette,3,6,7,4,4,1,2,1,1,1,6,7,8,52,34,28,57,32,29,67,39,17,17,27
R_O3Upun7jahl8As9,willamette,3,2,2,3,3,1,2,3,7,1,2,2,6,51,36,32,56,42,36,71,37,21,17,28
R_10HtfDDQWAF0TUu,willamette,2,2,2,3,4,2,2,3,6,1,2,2,0,49,37,32,61,39,25,77,25,21,17,30
R_27EEQdi5ndrtgzN,willamette,1,4,4,5,4,1,2,5,2,1,4,4,5,79,47,28,77,32,39,76,36,18,17,33
R_1MXruSU9rtO9mtX,willamette,2,2,3,3,4,2,2,1,1,1,2,3,3,61,39,29,50,34,37,72,30,22,18,29
R_10qEDsOS2lof6ZX,willamette,2,6,6,5,5,2,2,1,4,1,6,6,4,65,33,26,62,32,35,58,33,19,18,36
R_bNt2IeUGEETQSsl,willamette,1,2,2,4,4,2,2,1,1,1,2,2,7,69,36,30,61,42,39,78,43,20,18,34
R_3iRssyW1XrPo3hI,willamette,3,2,2,2,5,2,2,1,8,1,2,2,7,59,36,32,49,46,38,78,47,22,18,34
R_1DRRPakJVtTAalx,willamette,2,2,2,1,3,2,2,1,1,1,2,2,1,57,36,31,34,41,31,77,38,20,18,31
R_zeQs23FAQQ9Cy3L,willamette,1,5,5,5,5,2,2,1,1,1,5,5,5,70,36,32,69,36,34,80,32,24,18,30
R_3LiMYvJaqcARmFr,willamette,3,2,2,4,4,1,2,1,6,1,2,2,1,62,31,30,56,40,21,66,26,22,18,34
R_rjcsRdDkFU5LcoV,willamette,1,4,2,5,5,1,2,1,5,1,4,2,7,56,37,25,72,38,32,70,40,20,18,31
