ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_2WNgI82DIFlzUn7,SUNYfredonia,1,5,5,4,4,2,2,1,7,1,5,5,1,72,33,31,54,41,27,74,32,20,13,46
R_3r2n4HPkN6vhIGs,SUNYfredonia,1,6,6,5,5,1,2,1,7,1,6,6,6,79,37,28,77,46,40,83,55,21,13,24
R_10TXsy91Zo8PPzr,SUNYfredonia,1,2,1,4,4,2,4,1,4,1,2,1,1,77,34,18,53,34,27,49,31,20,13,31
R_3et6i6JUzPCUs2K,SUNYfredonia,1,3,4,5,4,1,2,1,1,1,3,4,0,59,39,26,57,37,34,53,13,21,14,33
R_1DTKl5osv1GEvKv,SUNYfredonia,2,5,4,4,4,2,2,1,3,1,5,4,8,63,37,32,48,37,29,76,39,19,14,34
R_2DStWlnFNkcGaHy,SUNYfredonia,1,2,2,2,3,1,2,1,4,1,2,2,8,49,38,32,53,31,30,84,40,19,14,34
R_3EMPxF44X8NcvbN,SUNYfredonia,1,7,7,5,5,1,2,1,8,1,7,7,8,78,35,31,53,35,32,56,39,19,14,33
R_2uJ5t64T3kbGi2l,SUNYfredonia,1,5,6,4,3,1,4,1,2,1,5,6,1,60,37,29,58,30,24,80,34,20,14,34
R_3elSNFAD8L4HgW4,SUNYfredonia,1,2,2,4,3,2,2,3,4,1,2,2,3,68,39,29,44,28,32,77,36,20,14,32
R_3n7VUQonVJe7UgC,SUNYfredonia,1,2,2,4,5,1,2,1,1,1,2,2,0,71,42,29,36,35,29,72,28,21,15,33
R_3kcCKBwjWogJ6PN,SUNYfredonia,2,2,6,5,3,1,2,1,1,1,2,6,0,67,37,32,65,37,31,53,29,21,15,36
R_1oovOAbsplqe50g,SUNYfredonia,2,2,2,3,4,2,2,1,3,1,2,2,2,54,41,27,62,32,30,80,35,19,15,34
R_VJxDonUVSEuQqvD,SUNYfredonia,1,5,3,3,3,1,2,1,1,1,5,3,2,69,51,26,59,40,34,63,41,21,15,31
R_2wMkfoSw4rGLXxG,SUNYfredonia,1,2,2,3,4,1,4,6,3,1,2,2,1,58,36,22,54,33,31,59,30,20,15,28
R_1P1O8lXUPuxCuEP,SUNYfredonia,1,2,2,3,3,2,2,1,2,1,2,2,3,78,32,28,65,39,29,65,39,22,16,33
