UNQID,Exercise,SES,College,Risk,FaR,Focal,Distract,Inhibit,Perfect,Stress
112,2,4,2,2,12,30,12,18,3,2
86,2,4,2,1,23,37,12,25,14,0
117,1,3,1,2,13,44,15,29,19,8
44,1,4,2,2,20,43,15,28,25,2
122,2,4,2,1,10,43,16,27,3,2
123,1,4,2,2,24,33,13,20,1,2
27,2,2,2,2,13,16,6,10,6,4
23,1,1,2,2,16,16,6,10,15,0
7,1,1,2,2,12,15,6,9,44,0
30,1,4,1,2,17,29,9,20,18,6
98,1,4,2,1,17,25,10,15,1,6
96,2,4,1,2,24,51,18,33,40,4
65,1,1,1,2,27,53,18,35,67,9
136,2,1,2,1,15,48,19,29,5,2
114,1,4,2,1,22,29,10,19,9,4
76,1,1,2,2,9,27,10,17,15,0
40,2,4,2,1,24,30,11,19,14,6
116,1,4,2,2,22,38,12,26,2,6
106,1,2,2,3,23,38,13,25,4,0
5,2,4,2,3,43,71,28,43,99,34
31,1,1,1,3,30,70,29,41,53,28
10,1,4,1,3,49,74,29,45,59,12
4,1,4,2,3,32,72,29,43,84,12
2,1,4,1,3,46,71,29,42,99,24
50,1,4,1,3,42,75,30,45,47,24
97,1,4,2,1,17,32,13,19,17,0
120,2,4,1,1,17,35,13,22,21,6
28,2,1,1,2,19,38,13,25,37,10
66,2,3,1,2,32,44,14,30,4,0
9,1,3,1,3,23,54,22,32,74,12
3,1,2,2,3,49,63,22,41,99,30
56,2,4,2,3,31,62,23,39,4,4
115,1,4,2,2,28,58,23,35,7,4
83,1,4,1,2,27,56,23,33,9,8
51,2,3,2,2,19,58,23,35,19,8
81,2,4,1,2,39,58,23,35,24,12
54,1,4,1,2,8,36,14,22,10,0
130,2,4,1,2,24,50,18,32,6,4
124,2,4,1,1,21,52,18,34,7,0
131,2,4,2,1,31,48,18,30,15,4
99,2,4,1,1,20,37,14,23,12,14
143,1,4,2,1,16,42,15,27,7,4
33,2,1,2,3,19,38,16,22,53,2
102,1,4,2,1,28,39,17,22,2,2
109,1,4,1,2,12,41,15,26,11,0
80,1,2,2,1,21,48,15,33,12,4
128,2,4,1,2,11,43,16,27,5,2
95,2,4,2,3,26,46,16,30,6,2
84,1,4,2,3,27,48,16,32,26,8
6,1,3,2,2,26,37,16,21,44,8
101,2,4,2,2,26,47,17,30,14,0
105,1,4,2,1,14,49,17,32,14,0
58,1,1,2,3,19,53,17,36,19,4
20,1,1,1,2,37,66,24,42,55,26
68,2,3,2,3,35,58,24,34,55,6
74,2,3,2,2,26,61,25,36,16,14
121,2,4,2,2,27,59,25,34,16,8
67,1,4,1,2,14,56,25,31,23,12
59,1,4,2,2,24,46,17,30,20,14
55,1,4,1,2,29,46,17,29,23,6
13,1,4,1,2,34,38,17,22,29,4
91,1,1,1,2,26,52,17,35,31,10
47,1,4,1,3,27,49,17,32,36,12
126,1,1,1,2,28,46,17,29,51,8
17,1,1,1,2,16,47,17,30,64,12
142,2,4,1,1,20,47,18,29,2,0
134,1,4,1,2,16,45,18,27,4,2
144,1,2,1,1,27,49,18,31,6,6
61,1,1,1,2,25,42,18,24,18,12
90,2,1,1,2,35,53,18,35,23,14
132,2,2,2,1,22,47,18,29,23,0
87,1,3,1,2,30,54,19,35,19,16
93,1,1,1,2,28,47,19,28,25,8
94,1,4,1,1,32,55,19,36,29,14
62,1,1,1,1,21,41,19,22,30,8
138,2,1,2,1,25,51,20,31,6,6
70,1,2,2,2,13,43,20,23,7,8
35,1,3,2,2,28,49,20,29,8,8
127,1,4,2,2,25,56,20,36,8,4
53,1,4,2,3,31,47,20,28,12,4
145,2,3,2,2,28,57,21,36,31,12
18,1,1,2,2,35,54,22,32,27,10
48,2,3,1,3,20,57,22,35,27,2
133,1,4,1,1,33,56,22,34,29,10
139,2,4,2,2,28,54,22,32,29,10
52,1,4,1,2,33,49,20,29,16,6
100,1,4,2,2,31,51,20,31,21,14
108,2,4,1,2,28,56,20,36,22,6
85,2,4,1,1,19,41,20,21,26,4
39,2,2,2,1,15,47,20,26,28,4
88,1,3,1,2,20,55,20,35,28,12
8,2,4,2,3,38,53,20,33,74,14
103,1,4,2,2,27,54,21,33,0,4
73,1,2,1,1,10,42,21,21,2,0
71,2,3,2,1,7,47,21,26,7,0
82,1,4,2,2,26,48,18,30,29,4
26,1,2,1,3,14,46,18,28,34,6
34,1,2,1,3,34,56,18,38,40,16
137,2,4,2,2,23,51,19,32,12,2
72,2,3,2,2,14,52,19,33,13,4
135,2,4,1,1,27,48,21,27,8,6
69,1,4,1,2,37,53,21,32,8,22
129,2,4,1,1,22,47,21,26,9,4
118,1,4,1,2,24,50,21,29,10,10
140,1,1,2,2,35,54,21,33,11,12
77,2,1,1,2,29,57,21,36,35,4
113,2,2,2,3,31,60,21,39,36,6
60,2,4,1,2,29,47,22,25,9,2
141,2,1,1,2,30,58,22,36,25,10
29,2,1,2,3,27,55,19,36,33,8
24,2,3,1,1,16,49,19,29,69,8
64,1,2,1,3,31,54,20,34,4,12
37,1,1,1,3,40,56,21,35,16,4
125,1,3,2,1,27,58,21,37,16,12
104,2,4,2,1,29,56,21,35,25,8
14,1,4,1,3,37,60,23,37,47,22
49,1,3,1,2,23,53,24,29,14,12
63,1,4,1,2,29,56,24,32,21,6
92,1,4,2,3,31,55,21,34,26,6
79,1,3,1,2,34,56,22,34,32,20
43,1,4,2,3,27,58,22,36,37,8
22,2,4,2,2,22,56,22,34,37,14
16,2,4,1,2,33,63,22,41,50,14
110,1,4,2,3,42,63,23,40,34,22
32,2,2,2,3,23,53,24,28,25,10
57,2,1,1,2,35,60,24,36,29,10
15,2,4,1,1,24,61,24,37,35,4
42,1,2,1,2,24,61,25,36,29,0
75,2,1,2,2,24,68,25,43,33,6
25,1,1,2,3,18,61,25,36,42,4
38,1,4,1,2,44,64,25,39,50,30
119,1,1,1,3,33,67,25,42,53,16
11,1,2,2,2,39,65,25,40,81,14
45,2,4,2,1,29,62,26,36,24,20
78,1,2,2,2,30,62,26,36,33,4
111,1,1,2,3,39,65,27,38,34,16
