ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_2CfR4BpC8uEXUDl,juniata,1,2,1,4,4,2,2,4,7,1,2,1,9,63,31,30,51,41,39,70,37,22,13,35
R_3DwMaUnkg6HSnrg,juniata,1,2,1,5,5,1,2,1,5,1,2,1,7,69,38,28,73,39,39,78,35,20,13,32
R_11h0k4wkLXg6f3l,juniata,1,4,4,4,5,2,2,1,2,1,4,4,6,56,43,24,62,32,28,56,35,19,13,19
R_1jd3yx5dQe4Wn7u,juniata,1,2,3,5,5,1,2,3,2,1,2,3,5,76,29,26,51,36,30,60,41,24,13,26
R_1Ny2BCwwWm6gnFM,juniata,2,2,2,4,4,2,4,4,1,1,2,2,4,77,38,30,79,31,37,81,34,21,13,31
R_2eWnlvcOJJheSjh,juniata,1,4,3,2,3,1,2,1,5,1,4,3,6,60,37,29,78,33,37,46,29,21,14,32
R_2uqufY8ThQ7i8tP,juniata,1,4,4,5,5,1,2,1,8,1,4,4,5,72,37,30,72,31,37,74,42,20,14,30
R_31sgj3XaSCNbQuT,juniata,1,2,3,4,5,1,2,1,1,1,2,3,2,60,35,28,61,33,31,70,30,23,14,27
R_0U2icEWOOz0WnUl,juniata,1,5,5,4,5,1,2,1,5,1,5,5,7,56,29,30,84,36,27,53,34,18,14,33
R_3noOyISGiEzzfvD,juniata,2,2,1,4,4,2,2,1,5,1,2,1,5,52,38,32,52,32,30,70,34,16,14,40
R_W25VncXfjvum6Up,juniata,2,2,2,2,1,2,2,1,7,1,2,2,5,57,32,26,55,42,20,59,32,20,15,29
R_1fdTIgxr4jeMPwG,juniata,3,6,3,4,4,1,2,1,7,1,6,3,3,48,34,26,67,33,38,56,22,18,15,26
R_3MEAqa0UVAGYffr,juniata,3,4,4,4,4,1,2,1,6,1,4,4,3,75,38,28,54,33,29,72,35,20,15,35
R_UaPcDZ7hCLzrKFP,juniata,1,7,7,5,5,1,2,1,4,1,7,7,10,69,35,30,66,30,38,60,37,15,15,32
R_1FqP2f60qjz4S1C,juniata,1,7,5,5,4,1,2,1,1,1,7,5,1,64,35,30,41,28,25,43,11,20,15,35
R_3qpRwN7BIf84iyO,juniata,2,6,6,4,4,2,2,1,8,1,6,6,6,78,33,32,36,35,30,84,40,23,15,34
R_2aIBERctdlaKAYp,juniata,2,2,3,4,4,1,2,3,2,1,2,3,4,37,25,30,64,37,30,60,33,21,15,30
R_3KPbYoPjTSVkxdo,juniata,1,4,4,2,3,2,3,4,7,1,4,4,3,71,37,27,60,36,29,62,39,20,15,34
R_2CkXjg55mw9QrKX,juniata,2,4,5,5,4,1,2,1,1,1,4,5,1,69,39,28,69,35,31,71,24,22,16,30
R_2uxHaS227Md7imW,juniata,1,4,3,4,5,1,2,1,1,1,4,3,7,73,39,30,46,36,33,83,29,20,16,26
R_2wtYc8x8aFkTttH,juniata,2,2,3,1,4,1,2,1,2,1,2,3,1,62,30,30,72,44,28,76,23,20,16,30
R_AuIrKYR9YHLPOBr,juniata,3,3,2,4,3,2,2,1,5,1,3,2,3,66,36,32,59,37,30,74,35,20,16,37
R_29vrHqNa2xfgDXh,juniata,2,3,2,5,5,2,2,1,6,1,3,2,2,74,33,32,46,37,32,79,34,21,16,30
R_2ayPRhcaIynqSgL,juniata,1,2,2,4,5,2,5,1,1,1,2,2,4,72,48,30,72,45,34,81,47,21,16,36
R_38z2hcZ3Pskk4gB,juniata,2,2,1,1,2,3,2,1,4,1,2,1,7,50,31,25,41,34,26,60,40,20,17,36
R_bORf5dfnvgKEJk9,juniata,1,1,4,1,1,3,2,1,1,1,1,4,1,56,33,25,47,29,22,49,28,20,17,32
R_3fee2GSM5LSWbk0,juniata,1,4,4,4,5,2,2,1,2,1,4,4,1,77,60,30,75,29,31,55,29,20,17,29
R_5prfKUv0Web5vHz,juniata,1,6,6,5,5,2,2,1,4,1,6,6,4,70,38,31,54,35,27,81,38,19,17,32
R_3EYadVYjoGK6WXS,juniata,2,2,3,2,1,2,5,1,1,1,2,3,0,45,28,31,46,31,28,33,22,21,17,31
R_33DAJQjmKWD27wK,juniata,2,2,3,3,3,2,5,1,3,1,2,3,2,65,42,31,39,42,31,68,25,19,17,33
R_3egf4WsesGpEiBy,juniata,1,1,1,4,4,2,8,1,7,1,1,1,0,73,43,28,72,43,37,66,28,21,17,25
R_V4D8LV3EXOEHTbz,juniata,3,2,2,4,4,2,2,2,5,1,2,2,1,59,31,32,51,36,22,58,29,20,17,26
R_3G7lr5JDWRm7ScN,juniata,1,6,6,4,4,2,2,1,5,1,6,6,4,70,42,32,57,36,35,58,37,19,18,34
R_31sKZM1rr92rP96,juniata,1,5,5,4,4,2,2,1,3,1,5,5,2,69,36,30,72,38,29,76,38,21,18,29
R_25tl3L8vLPXOqPO,juniata,1,2,1,1,4,3,2,1,8,1,2,1,3,60,32,32,61,39,30,68,33,22,18,32
R_2WJClcBwEuk6828,juniata,1,6,6,2,4,1,2,1,1,1,6,6,3,69,32,24,69,33,29,60,30,20,18,28
R_2sZRrGVlZ3Yr3q6,juniata,1,2,2,4,4,1,2,1,7,1,2,2,6,74,35,28,55,40,36,74,28,21,18,34
R_3NWmYIfHcm8nknY,juniata,1,6,5,4,3,1,2,1,7,1,6,5,0,75,31,31,55,40,23,63,48,21,18,31
R_1IS4rpHSsyv5MEG,juniata,2,5,5,4,4,1,2,1,7,1,5,5,10,68,32,32,49,38,30,79,40,21,18,35
R_5ciSD70FPl2VhSB,juniata,2,5,5,2,2,2,2,1,1,1,5,5,1,57,28,26,50,38,21,41,38,20,18,34
R_1gOAfxnE83cNowd,juniata,2,2,3,1,3,1,8,1,2,1,2,3,2,52,39,26,62,39,33,73,32,21,18,30
R_WcyIKDc69mbiwWB,juniata,1,2,2,4,3,2,2,4,1,1,2,2,4,50,34,32,46,34,31,47,33,19,18,35
