ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_2qrtq25zjK8FTdl,plu,1,5,5,4,5,1,2,1,2,1,5,5,8,80,39,25,60,37,40,77,44,19,13,33
R_8He9TFf40t5rg0V,plu,1,6,7,3,4,2,2,6,7,1,6,7,7,64,47,25,83,35,39,75,28,20,13,28
R_ylrlUzwFzk6D0L7,plu,2,2,2,3,3,2,2,3,2,1,2,2,1,71,50,27,79,36,34,64,32,20,13,27
R_25HEYJVj8SWfiPR,plu,2,6,2,5,3,1,2,4,1,1,6,2,2,72,32,31,61,43,28,75,36,19,13,28
R_BLG2sNLwtUvYwDf,plu,2,2,2,3,4,1,2,1,1,1,2,2,4,48,39,32,61,43,33,67,35,19,14,37
R_1WStkI45WYUcmXf,plu,2,1,1,2,2,2,2,1,6,1,1,1,3,67,50,23,76,42,30,68,41,18,14,30
R_1NkOudErbvRXTXj,plu,1,3,3,3,3,2,2,1,6,1,3,3,5,73,37,24,71,32,30,82,40,20,14,29
R_2PmVR8SwzYRBbug,plu,2,5,6,5,5,1,4,1,2,1,5,6,1,67,38,31,59,39,30,75,33,22,14,28
R_3KphDAkDazCZDPR,plu,1,5,6,4,5,1,2,3,2,1,5,6,8,75,30,30,51,39,30,68,39,21,14,37
R_3JfQtsuRvmVi3s4,plu,2,3,3,4,3,2,2,1,4,1,3,3,2,46,34,29,63,39,29,74,40,21,15,27
R_2a9mRKO0VmHBd0w,plu,1,3,2,5,5,2,2,1,7,1,3,2,0,78,37,30,75,35,38,84,39,21,15,30
R_2CBLoX80OBUEi50,plu,1,2,3,5,5,1,2,1,1,1,2,3,5,58,40,29,90,35,38,60,38,22,15,30
R_1okhq1IIxGISAEk,plu,1,2,3,3,3,1,2,1,2,1,2,3,4,63,41,26,58,33,28,76,37,21,15,37
R_RCgn91Sf5SNf1rH,plu,1,3,2,1,4,1,2,1,5,1,3,2,4,55,37,25,57,33,39,47,18,19,15,31
R_zTIWeOowIY0VPQR,plu,1,2,3,1,2,2,2,4,2,1,2,3,9,74,40,31,50,48,38,74,41,20,15,34
R_2Yy0sTZ1PzD9U9k,plu,3,3,2,5,4,1,2,4,7,1,3,2,4,66,33,30,86,36,34,61,34,19,15,28
R_2wvLPmVzkdLj3jz,plu,2,1,1,3,2,3,2,4,6,1,1,1,7,72,40,30,59,41,36,65,33,20,15,41
R_31ox6XqLCSiY23G,plu,2,2,2,4,4,2,2,4,1,1,2,2,3,56,25,24,60,43,30,70,46,20,15,30
