ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_yXdevlGkmVvTG0h,michiganstate,1,6,7,5,5,2,2,1,9,1,6,7,6,67,34,30,51,25,32,73,35,19,13,30
R_2zBd4wqLdeELawO,michiganstate,1,6,6,4,4,2,2,1,7,1,6,6,2,80,43,32,53,43,30,67,33,23,13,35
R_3sBqVgtwlL87nCb,michiganstate,1,5,6,4,5,1,2,1,7,1,5,6,8,68,35,28,68,39,33,83,36,23,13,31
R_2reDCNBXWSBYCNH,michiganstate,1,6,6,4,4,2,2,1,5,1,6,6,4,77,41,30,53,32,38,79,37,21,13,30
R_1r7cbT6x0j8tVV2,michiganstate,1,5,6,5,5,1,2,1,1,1,5,6,4,77,36,30,72,34,32,73,32,21,13,28
R_2cu72cqv61dvpF7,michiganstate,1,6,6,5,3,2,2,1,1,1,6,6,3,72,36,31,53,38,29,62,31,20,13,33
R_3kmEQ3vR8x6qKeT,michiganstate,1,4,6,4,4,1,2,1,7,1,4,6,5,58,51,32,58,35,33,79,37,20,13,24
R_1doDW54uiguPOi4,michiganstate,3,2,2,4,4,2,2,1,7,1,2,2,3,63,29,27,71,38,37,77,47,20,13,28
R_2Ym2rfyqCOyMQim,michiganstate,2,2,2,4,4,2,2,1,8,1,2,2,1,56,31,26,71,38,34,83,46,20,13,27
R_1oF84ycWrDXm7jF,michiganstate,1,2,1,5,5,1,2,2,8,1,2,1,1,77,60,31,67,41,40,84,43,20,13,39
R_3lELBOV0mzN70lJ,michiganstate,2,3,3,4,5,2,2,4,2,1,3,3,1,63,35,25,80,40,27,71,28,20,13,33
R_2CTClaCDxPQYIoA,michiganstate,1,6,7,5,5,1,2,1,7,1,6,7,4,76,45,29,54,38,37,79,24,19,14,30
R_1pPEfysH68aQiKh,michiganstate,1,2,2,4,4,2,2,1,6,1,2,2,3,79,36,29,66,36,27,76,41,22,14,30
R_6zqgT9bCk5DR0lj,michiganstate,1,5,6,5,5,2,2,1,3,1,5,6,2,78,42,31,67,40,36,81,43,19,15,29
R_22lkazOnucljZ8T,michiganstate,1,5,5,4,4,2,2,1,6,1,5,5,3,65,37,28,64,35,32,78,37,20,15,31
R_22QYoQLxnHZtbaB,michiganstate,1,2,2,3,3,2,2,1,1,1,2,2,1,45,46,26,58,34,29,66,28,20,15,31
R_117TeYgqOVRfmSr,michiganstate,1,5,5,5,5,1,2,1,6,1,5,5,2,72,31,32,54,44,30,72,35,19,15,29
R_1P0CEnRDXkwBkyv,michiganstate,1,3,3,4,3,2,2,1,1,1,3,3,4,78,30,28,68,44,32,65,37,19,15,25
R_1rJFRVK9tDiXmXL,michiganstate,1,5,5,4,4,2,2,1,7,1,5,5,0,77,36,30,70,29,30,80,35,21,15,30
R_1E6V08QyHtpTAFU,michiganstate,1,5,6,2,4,2,2,1,4,1,5,6,6,52,43,32,66,43,30,84,40,17,15,30
R_1GNEiFs5mYcSLta,michiganstate,1,4,3,4,2,2,2,4,2,1,4,3,2,70,39,27,45,39,32,66,47,19,15,33
R_3er8KxmJCSOJu0d,michiganstate,2,4,2,4,4,2,2,6,6,1,4,2,2,77,32,31,74,36,28,70,39,21,15,28
R_1CBaRWVVRJHJfZU,michiganstate,1,2,3,4,4,1,2,1,2,1,2,3,4,52,48,29,58,30,38,66,34,21,16,28
R_2e5tcdK2FfxIDMs,michiganstate,1,4,3,4,3,2,2,1,6,1,4,3,3,77,36,29,48,39,28,71,40,20,16,36
R_aYsknH4ladjmXap,michiganstate,2,1,1,1,1,2,2,1,5,1,1,1,0,44,37,29,66,34,30,50,15,21,16,30
R_UK3SOXcuKZBJ3ix,michiganstate,3,4,6,4,4,2,2,1,8,1,4,6,7,47,33,27,66,48,32,84,39,22,16,31
R_2ceL36STMbycaDr,michiganstate,1,6,6,4,5,1,2,1,1,1,6,6,6,80,37,28,75,29,38,63,12,23,16,28
R_3oR34JNEaruslX9,michiganstate,2,2,2,4,5,1,2,1,6,1,2,2,6,55,32,30,32,44,34,68,17,19,16,29
R_25vb2V5V8RYqZJB,michiganstate,2,5,5,3,4,2,2,1,5,1,5,5,8,80,36,31,46,42,31,81,50,21,16,24
R_22z6D0WMiYt4jNm,michiganstate,1,4,4,4,4,2,2,1,7,1,4,4,2,71,35,31,64,34,34,77,55,19,16,32
R_3lSmV8TRqlxoHFy,michiganstate,3,3,2,4,4,1,2,1,6,1,3,2,5,44,33,31,55,30,27,45,30,22,16,27
R_blbqHXetxWeIYLP,michiganstate,2,4,6,4,4,2,2,1,7,1,4,6,2,68,33,28,69,37,32,83,31,21,16,32
R_2wvln2oGLkmtTXz,michiganstate,1,4,2,4,4,2,2,1,5,1,4,2,6,79,41,28,80,36,29,77,45,21,16,30
R_RRF50cns0kqXuY9,michiganstate,1,6,7,5,4,2,2,1,4,1,6,7,3,75,30,31,69,43,32,82,46,20,16,35
R_eWjtbg4mQqdAef7,michiganstate,2,5,5,5,4,2,2,1,6,1,5,5,3,64,34,29,64,35,29,71,40,20,16,32
R_3sicLq259ZlEqZv,michiganstate,1,5,5,4,4,2,2,1,7,1,5,5,0,77,36,31,66,31,31,80,35,21,16,27
R_8pNrlJXynHvRFOt,michiganstate,1,4,4,4,5,1,2,1,7,1,4,4,5,76,41,27,38,41,36,76,35,22,16,34
R_1Cpudzi4IuG1xxq,michiganstate,1,6,6,5,3,1,2,1,8,1,6,6,9,74,36,29,76,43,33,63,30,22,16,38
R_2OHc8jjlXzBAmy2,michiganstate,1,4,5,4,4,1,2,1,7,1,4,5,6,71,35,25,57,39,32,72,38,19,16,31
R_33akBUSRCjWWXPh,michiganstate,1,3,3,2,4,2,2,1,1,1,3,3,1,69,34,32,51,47,30,57,45,20,16,37
R_1FfcHLRPe8DXuQv,michiganstate,1,5,6,4,5,2,2,1,1,1,5,6,4,72,56,31,45,31,37,82,54,21,16,32
R_1rvSIon8OzlKwqk,michiganstate,2,5,5,3,3,1,2,1,1,1,5,5,2,63,44,30,62,39,27,84,24,19,16,32
R_1i8PTsiQCTAhaIY,michiganstate,1,3,6,5,5,2,2,3,3,1,3,6,3,78,38,30,57,47,28,73,34,18,16,29
R_1psZg7vvoFxxaLf,michiganstate,2,5,6,5,4,2,2,1,5,1,5,6,6,67,36,29,52,35,34,84,49,21,17,35
R_2eVzCqaNUygCbda,michiganstate,1,3,3,4,3,2,2,1,7,1,3,3,5,56,37,31,57,41,30,81,39,20,17,37
R_2OZpSM3xzN8gmbN,michiganstate,1,4,7,4,4,1,2,1,1,1,4,7,6,76,33,28,64,41,30,66,44,17,17,30
R_3n5T0lfMzVCkWBC,michiganstate,1,1,3,4,4,2,2,1,5,1,1,3,4,80,40,31,69,34,38,84,44,21,17,30
R_V3wsZf9dJhdu3fz,michiganstate,1,7,7,4,3,1,2,1,6,1,7,7,6,69,34,28,61,36,28,69,29,21,17,29
R_1Ig8RMcKp8uu8I9,michiganstate,1,5,5,4,5,1,2,1,7,1,5,5,3,72,31,30,59,41,29,65,40,20,17,31
R_2sU93GsaEHgZGck,michiganstate,1,4,5,4,4,2,4,1,8,1,4,5,1,78,37,28,58,40,29,62,37,20,17,35
R_3nCuzFX6bpV8Ttu,michiganstate,2,3,2,5,4,2,2,2,7,1,3,2,5,71,36,31,74,34,32,84,43,22,17,29
R_1LbAkMRje8Wy1Wv,michiganstate,1,4,3,4,4,1,2,4,6,1,4,3,6,68,32,30,62,33,32,74,31,19,17,27
R_2uPUtZjItpDvXKM,michiganstate,1,6,6,4,4,2,2,6,8,1,6,6,6,72,31,29,76,28,30,70,24,19,17,30
R_2zPcK7DezvBHAw2,michiganstate,1,6,7,5,5,2,2,6,8,1,6,7,7,72,31,32,58,35,30,84,27,18,17,36
R_2WxqmMtet2BuQvl,michiganstate,2,2,2,3,3,1,2,1,7,1,2,2,0,70,35,29,72,38,33,80,32,21,18,33
R_1IibrZSrjMuJzPo,michiganstate,1,2,2,1,1,2,2,1,2,1,2,2,1,62,42,30,69,33,34,71,45,20,18,31
R_1n2YS19kWX5w8Bw,michiganstate,1,2,3,4,4,2,2,1,6,1,2,3,3,73,40,32,54,35,32,74,43,20,18,29
R_12L1PtHgU43Acrq,michiganstate,1,6,6,4,4,2,2,1,5,1,6,6,5,77,38,31,39,40,29,72,42,20,18,37
R_1I5GwNDlEKpVvGr,michiganstate,1,4,5,4,4,2,2,1,8,1,4,5,3,75,39,30,72,40,35,70,45,18,18,33
R_2s1pb5HcEaaIzug,michiganstate,1,4,4,4,5,1,2,1,1,1,4,4,4,52,35,32,63,30,35,63,38,19,18,28
R_3PSlLBld5DbHS69,michiganstate,2,4,4,3,3,2,2,1,1,1,4,4,5,76,33,30,59,44,25,68,42,16,18,33
R_0BCnIHKONiN2fS1,michiganstate,1,2,3,2,3,2,2,5,2,1,2,3,6,60,45,29,45,39,26,76,48,21,18,37
