ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_pzs7J6lagr7ZTdD,adamsstate,1,5,2,4,4,1,8,1,6,1,5,2,9,72,48,25,73,43,37,62,34,16,13,27
R_3FQfQYcirFboAvx,adamsstate,1,5,5,5,5,1,2,1,1,1,5,5,9,58,30,26,45,36,33,49,24,18,14,30
R_2OIw0zLCY1sFAj7,adamsstate,1,6,5,4,4,1,2,1,1,1,6,5,1,70,40,24,57,28,32,47,29,20,14,30
R_3KxxXrxlbwUKuF5,adamsstate,3,5,5,5,5,2,2,1,2,1,5,5,1,64,57,28,45,39,24,68,45,22,14,34
R_u4SyE6Gm022bGpj,adamsstate,1,5,6,5,5,1,2,1,5,1,5,6,3,51,39,19,54,32,36,60,24,22,14,28
R_2DUCsXsCxl24cYx,adamsstate,1,5,5,5,5,1,4,1,3,1,5,5,8,70,54,25,35,45,31,77,43,17,14,32
R_3Pt7zQy8ymZjLAB,adamsstate,3,4,2,4,4,2,2,5,1,1,4,2,3,71,47,26,77,34,35,76,34,24,14,35
R_vce5QHcFKQLqDtf,adamsstate,1,6,6,4,5,1,2,1,8,1,6,6,10,62,42,29,49,34,34,73,31,19,15,34
R_1oCgHLfO44lrA9h,adamsstate,1,5,6,4,5,2,2,1,6,1,5,6,0,67,38,32,74,32,39,75,35,21,15,30
R_2QXabPvPCKbkgqk,adamsstate,1,6,6,5,5,1,4,1,7,1,6,6,9,64,39,31,60,33,36,77,28,18,15,36
R_22DEFA4s1YmcRNI,adamsstate,1,1,1,2,4,2,8,1,2,1,1,1,5,48,48,29,67,32,31,69,11,22,15,35
R_3oQK4n6zaxsYxaz,adamsstate,1,4,2,3,3,1,1,3,3,1,4,2,7,68,33,29,48,36,39,61,43,22,15,33
R_2fuPn9UrBY6Ch2E,adamsstate,1,3,4,4,4,2,2,1,2,1,3,4,9,69,39,29,53,35,29,65,32,22,16,32
R_1P2cbj9HSZcvyRR,adamsstate,1,6,6,5,5,2,2,1,2,1,6,6,1,73,41,30,58,44,35,69,27,22,16,35
R_2VQmEY76wWpFosE,adamsstate,2,4,5,4,4,2,2,1,1,1,4,5,7,73,39,29,69,37,33,76,31,18,16,33
R_3MifLQgbPLked0W,adamsstate,1,7,7,4,3,2,2,1,2,1,7,7,1,71,55,28,62,30,32,76,39,20,16,30
R_vqusUfIe7EnqWoV,adamsstate,3,3,3,4,4,2,2,2,7,1,3,3,5,74,39,26,57,32,30,58,37,22,16,33
R_3er7odfDCAzPFG8,adamsstate,1,6,5,5,5,2,8,3,3,1,6,5,1,64,55,26,67,36,40,53,37,20,16,31
R_3PZ7Rsea4aeBSuT,adamsstate,1,2,3,5,5,2,2,3,2,1,2,3,0,77,39,29,76,30,32,79,20,21,16,31
R_1lnrXaqZtH0FNyu,adamsstate,1,4,4,1,5,1,2,1,1,1,4,4,6,71,40,31,66,31,37,69,27,21,17,29
R_2CHWY9cgsktyVYf,adamsstate,1,2,5,2,4,2,2,1,2,1,2,5,4,69,47,22,72,36,33,67,11,21,17,30
R_2CP0lQh5MzT1TC2,adamsstate,1,4,4,1,3,1,2,1,2,1,4,4,4,63,38,18,57,32,34,55,33,19,17,23
R_1Ictg09cZ8TiT3d,adamsstate,1,4,5,4,5,1,8,1,3,1,4,5,6,68,43,26,58,38,38,60,30,19,17,31
R_3ql8PVoKNIuR1uh,adamsstate,1,2,2,4,3,2,2,3,3,1,2,2,1,63,37,26,56,34,30,65,31,20,17,35
R_0eSMVCDA6q7DlTP,adamsstate,2,4,3,3,3,1,2,4,4,1,4,3,4,66,51,28,73,29,35,81,39,23,17,31
R_cNiK4BN34cdlcsN,adamsstate,1,4,3,5,5,1,2,1,2,1,4,3,8,67,45,32,43,43,40,79,34,21,18,28
R_3qPtRIXh25twRu7,adamsstate,1,4,4,2,4,1,2,1,7,1,4,4,3,58,39,27,68,35,30,65,39,22,18,34
R_2v7c78VqBRFPSYS,adamsstate,1,1,3,2,2,2,2,1,2,1,1,3,2,61,51,20,65,25,34,57,23,21,18,30
R_3qE7OrZ2O8y82Uy,adamsstate,1,6,7,5,5,1,2,1,2,1,6,7,3,72,42,28,51,36,35,71,32,20,18,31
R_1IGiF2kmzKngcQn,adamsstate,1,6,7,5,5,2,2,1,3,1,6,7,4,68,50,24,66,43,34,79,28,21,18,31
