ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_dmw9mhc1JgbtdIh,swansea,1,2,3,5,4,1,2,1,3,2,2,3,7,67,40,29,79,31,33,71,38,22,13,32
R_eh45ae8dsC45x4x,swansea,2,5,4,3,3,2,4,1,2,2,5,4,1,66,49,31,56,38,29,80,26,20,13,29
R_a5h2zrI5d4izXWR,swansea,1,4,4,3,3,2,8,1,1,2,4,4,2,78,38,28,61,42,31,74,33,19,13,10
R_2rIryucivA7dxvi,swansea,1,4,2,3,3,2,8,1,1,2,4,2,3,64,40,12,54,35,35,13,33,17,13,20
R_3oSI5FB02TDZWGb,swansea,1,4,3,4,4,2,4,1,1,2,4,3,1,40,32,19,62,19,30,60,15,20,14,24
R_6L6wojL16Kb7TRr,swansea,1,6,4,4,5,1,4,1,7,2,6,4,1,74,36,24,66,35,36,61,31,20,14,28
R_1fkkdehLmm3RFdN,swansea,1,4,4,5,5,1,8,1,5,2,4,4,3,49,34,30,61,32,29,72,28,22,14,37
R_b3gztCIEZDnTULr,swansea,1,5,4,4,3,2,8,4,2,2,5,4,5,62,37,27,68,31,30,72,30,18,14,20
R_56JkJNGXIv48ACh,swansea,1,2,1,3,4,2,2,1,1,2,2,1,1,65,38,29,62,38,32,70,34,20,15,30
R_beh2S7qQsGfc7oV,swansea,1,2,1,4,4,1,8,1,4,2,2,1,0,73,41,30,66,29,32,51,28,21,15,27
R_s5cpwgYPZxz2HwB,swansea,1,3,3,5,5,1,2,1,6,2,3,3,6,55,36,22,54,37,26,70,42,17,16,25
R_0SSfg5WWjL2Pv2l,swansea,1,6,5,3,3,1,2,1,3,2,6,5,4,74,58,29,65,34,40,79,39,19,16,34
R_5jAaw0jfvuGNin3,swansea,1,1,7,4,5,1,2,1,4,2,1,7,7,46,38,28,68,36,39,77,35,18,16,32
R_ezb6GBMXhnMRpEF,swansea,2,2,2,3,3,2,2,1,1,2,2,2,1,57,38,28,63,40,27,78,38,22,16,31
R_0cVogNKh17252Lf,swansea,2,2,2,4,4,2,2,1,1,2,2,2,0,71,35,29,74,40,26,70,39,21,16,35
R_55ulXlPjHIrw9sp,swansea,1,3,4,4,4,2,4,1,1,2,3,4,5,70,42,31,74,28,29,84,44,18,16,30
R_1CwkvKOZlYs2hfH,swansea,1,2,2,2,3,2,5,1,2,2,2,2,6,45,40,29,68,34,37,67,16,21,16,29
R_2Ez6YhCstmUZ53L,swansea,1,3,3,4,4,1,8,1,1,2,3,3,2,57,39,29,56,39,27,69,34,21,16,35
R_dfYPBXw2uoOlghv,swansea,1,2,2,5,5,2,8,1,6,2,2,2,6,61,45,32,55,35,33,75,51,21,16,32
R_e8ORFmQpEBOgXoV,swansea,1,2,1,3,3,1,2,4,1,2,2,1,5,65,30,30,60,33,30,73,30,18,16,30
R_ahjOFs8RQJV21Fz,swansea,1,2,3,2,3,2,2,6,1,2,2,3,4,66,31,30,48,38,33,84,45,21,16,26
R_31vJx6wF0RMRIkQ,swansea,2,3,6,5,3,2,2,1,7,2,3,6,3,68,50,29,26,48,35,55,48,18,17,43
R_3GuZXElKNcIc4ut,swansea,1,4,2,2,2,2,2,1,6,2,4,2,6,68,36,28,61,41,30,80,35,19,17,30
R_3Ed8i9raTwFWEkS,swansea,2,2,2,4,3,2,2,1,7,2,2,2,5,63,33,27,44,32,31,78,36,20,17,27
R_bvmGc3r6OV2EnfT,swansea,1,5,4,4,4,1,2,1,6,2,5,4,1,66,33,24,59,33,28,55,22,20,17,29
R_6iiIuQP5twUXQOx,swansea,1,2,6,5,1,1,2,1,2,2,2,6,0,63,38,25,65,37,29,73,31,21,17,29
R_74yxEHnkw7vDUrP,swansea,1,4,2,4,2,2,2,1,4,2,4,2,3,72,32,30,61,34,30,75,38,20,17,33
R_6PBKU4S75EiNpYN,swansea,2,2,1,5,2,2,2,1,6,2,2,1,7,72,36,28,43,48,30,73,38,20,17,27
R_26bwHuXtA4vy7Br,swansea,1,2,3,3,3,2,2,1,2,2,2,3,2,68,49,29,56,38,29,76,37,21,17,26
R_2wa7p1ctsPDDGW9,swansea,1,2,3,3,3,2,2,1,1,2,2,3,1,68,36,31,48,45,25,80,40,22,17,35
R_af1WR06HmKdTG1T,swansea,1,2,2,2,3,1,2,1,5,2,2,2,1,69,37,28,71,35,26,68,29,22,17,29
R_21dnTXIKIxe4ObJ,swansea,1,2,2,3,3,2,8,1,5,2,2,2,2,65,46,27,70,35,30,60,32,19,17,32
R_4SkVIwj3c6WhdGp,swansea,1,2,1,4,4,2,8,1,4,2,2,1,7,57,33,29,55,39,33,66,42,18,17,30
R_DohjT555aglFdgR,swansea,1,3,3,5,5,1,8,1,2,2,3,3,8,75,40,26,64,38,35,73,29,21,17,28
R_3JznL8Un8o5G7wJ,swansea,1,5,2,4,4,2,2,6,1,2,5,2,1,41,35,32,78,38,29,81,39,22,17,32
R_3Kv9n8Efa6gIbyJ,swansea,2,5,5,3,3,2,2,6,2,2,5,5,2,58,30,24,36,43,33,69,44,21,17,30
R_1ib67dwq2LuoRDE,swansea,1,6,6,4,4,1,2,1,3,2,6,6,1,56,38,29,50,39,28,63,36,20,18,27
R_2sYhQD3m0wQc2lw,swansea,1,6,6,4,4,2,2,1,6,2,6,6,4,67,44,25,47,42,25,74,40,19,18,32
R_0wS0wVx2djmhoyx,swansea,2,5,3,1,3,2,2,1,1,2,5,3,8,61,38,30,77,40,38,84,36,21,18,33
R_79sHpMajO1QJjPn,swansea,1,4,3,3,3,2,2,1,1,2,4,3,1,65,41,29,60,37,30,72,35,20,18,34
R_0DO7VdrACYNGD4x,swansea,3,2,4,1,1,2,2,1,4,2,2,4,9,53,33,31,62,38,25,84,42,16,18,39
R_73eoTiMsBqlA7FX,swansea,1,2,2,1,5,2,2,1,1,2,2,2,10,71,30,31,65,45,28,68,44,17,18,38
R_1OTbBBLJB5oq9vb,swansea,2,2,2,4,3,2,2,1,2,2,2,2,5,59,28,30,64,41,28,78,30,20,18,31
R_eJcxFL8hEuFATid,swansea,2,4,3,1,1,2,8,1,1,2,4,3,6,75,54,30,63,36,37,66,55,21,18,35
R_2OUYSvWCBDxCBYR,swansea,1,4,5,5,2,1,8,1,1,2,4,5,5,60,45,28,72,41,35,62,38,22,18,37
R_e8rGzry75tktBqt,swansea,2,2,2,3,3,2,8,1,1,2,2,2,1,48,32,29,57,36,26,77,31,22,18,30
R_2zY0LlGxAYa5Z1W,swansea,1,3,2,2,3,2,8,1,6,2,3,2,3,71,33,24,72,38,30,78,38,20,18,30
R_22Q9siinMP5OxO1,swansea,2,2,2,3,3,2,2,2,1,2,2,2,5,62,35,27,63,32,30,60,19,20,18,24
R_0uouoAArB6DgFZr,swansea,1,2,2,2,1,2,2,1,2,2,2,2,0,52,37,29,59,36,32,57,20,21,19,29
R_9BIcfcFUElzBXlb,swansea,1,6,3,5,5,1,2,1,5,2,6,3,5,72,40,31,34,45,39,67,52,20,19,33
R_erIbcGVlNK1s7FX,swansea,1,2,3,3,2,2,2,1,1,2,2,3,5,61,36,30,52,37,27,66,37,18,19,38
R_4IQ2DufmbIOcLnD,swansea,2,2,3,4,4,2,2,1,2,2,2,3,1,58,37,28,57,43,30,83,36,20,19,33
R_07h1OLlzcoZj7Q9,swansea,1,2,4,1,1,1,2,1,4,2,2,4,4,60,32,29,31,30,33,78,28,23,19,28
R_4MwoEhbsQDonPQF,swansea,1,4,4,4,4,2,2,1,1,2,4,4,6,64,33,30,51,38,29,83,48,17,19,30
R_3EaGvztKO5ljJwq,swansea,1,3,3,4,4,1,8,1,2,2,3,3,2,58,38,28,34,34,30,71,37,21,19,38
R_0Ujo9ij5Prw5p5z,swansea,1,5,5,1,1,1,8,1,6,2,5,5,6,59,37,24,57,33,27,84,33,21,19,27
R_6GnYmxRW1v4LLLL,swansea,3,1,1,2,2,2,8,1,7,2,1,1,5,52,31,28,56,33,31,62,38,18,19,28
R_2bqd5qPMsMyEsWp,swansea,1,2,1,2,3,2,9,1,5,2,2,1,5,43,38,31,26,37,39,59,27,22,19,30
R_1eRDkVMrVWovIEh,swansea,2,4,4,3,4,2,2,6,1,2,4,4,1,58,32,30,78,36,27,63,39,20,19,30
R_3OdIb8lfp118G4C,swansea,1,4,2,3,3,2,2,1,1,2,4,2,2,69,37,23,48,42,31,65,39,21,20,31
R_enuyuiY0BRmRYln,swansea,1,4,2,2,3,2,2,1,1,2,4,2,1,70,35,27,50,39,28,72,29,22,20,27
R_21hQx8ieDi5WE0r,swansea,1,4,5,4,4,2,2,1,2,2,4,5,3,61,32,31,54,40,30,64,38,20,20,33
