ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_2b1dpMtWGLElbpS,paradise,1,7,4,5,5,2,2,1,2,1,7,4,5,65,32,24,56,38,27,48,29,18,13,29
R_3Nyrlw1Jvs5Wupq,paradise,1,4,5,4,4,1,2,1,3,1,4,5,6,43,37,25,66,32,38,71,26,19,13,27
R_AvTmQw05gmBGPQJ,paradise,1,6,6,4,4,1,5,1,4,1,6,6,1,68,45,25,51,33,32,75,35,22,13,28
R_vpk0ZLeId9a33Ud,paradise,2,6,6,5,5,1,2,1,1,1,6,6,4,78,38,31,76,34,38,84,23,21,14,33
R_29houWktJnDWeZf,paradise,1,5,4,5,5,2,2,1,2,1,5,4,8,77,51,29,72,37,39,84,46,21,14,35
R_3PFXFevYUUWlHJI,paradise,1,4,5,4,5,2,2,1,1,1,4,5,2,70,42,30,72,35,30,63,41,21,14,33
R_3FPWtg0u2BVKryM,paradise,1,6,5,5,5,2,5,1,7,1,6,5,1,64,42,28,79,32,34,64,27,20,14,31
R_1OpHt8Vyx5gN4rl,paradise,1,2,3,1,4,2,2,1,1,1,2,3,2,66,45,27,83,28,37,57,43,21,15,30
R_W6S35WYLHLscFVv,paradise,1,4,3,4,4,1,2,1,5,1,4,3,4,70,50,28,61,31,37,74,21,19,15,31
R_31ynehfYFRKf55y,paradise,1,6,7,4,5,2,5,1,7,1,6,7,5,80,59,17,75,32,40,76,22,20,15,32
R_2WMfZvSjjFhjkjA,paradise,1,6,5,5,5,1,2,4,7,1,6,5,5,77,38,30,79,33,31,84,42,24,15,32
R_7X6VhcWSdjcRo89,paradise,1,4,4,5,4,2,2,2,7,1,4,4,10,73,34,26,61,39,32,61,22,19,15,31
R_1jCh4N423tXSEFW,paradise,1,3,2,4,4,1,2,3,3,1,3,2,6,57,41,24,48,33,40,51,35,19,15,28
R_3NxNlwFSARCqqUp,paradise,1,3,5,1,4,1,2,1,5,1,3,5,3,63,50,29,72,36,33,72,33,20,16,30
R_2uTLCR11yDlures,paradise,1,6,7,1,4,2,2,1,1,1,6,7,1,75,44,29,88,39,28,62,31,22,16,27
R_31H5dNzNlukJZiz,paradise,2,6,6,5,5,2,2,1,6,1,6,6,2,75,38,26,83,44,39,84,36,21,16,31
R_3MRuruxiyGtHDfY,paradise,1,2,1,2,5,1,9,1,7,1,2,1,6,58,58,22,71,36,39,62,30,23,16,34
R_2y4oZMw3WVPz5po,paradise,1,4,2,5,5,1,2,2,3,1,4,2,2,76,36,22,82,36,36,45,35,23,16,25
R_10AR1BhlKdqLzd9,paradise,1,6,6,5,5,2,1,3,5,1,6,6,7,40,20,32,72,34,40,74,33,18,16,30
R_1mPqBKj0leOyTJH,paradise,1,6,6,5,5,2,2,4,4,1,6,6,2,76,52,31,59,35,35,79,29,19,16,31
R_2PurecPL67KBT4j,paradise,1,5,5,5,5,2,2,1,5,1,5,5,6,77,51,29,60,45,28,63,40,19,17,35
R_3m1rKIJgYDYfLn0,paradise,1,6,5,4,4,2,2,1,2,1,6,5,5,66,38,32,72,41,35,75,36,22,17,28
R_3hFn16Hal4IYT0O,paradise,1,2,2,2,4,2,2,1,5,1,2,2,5,58,46,23,69,30,31,76,33,22,17,29
R_00aEuEBExladk8V,paradise,1,5,5,4,4,2,2,1,7,1,5,5,1,65,36,28,38,38,29,61,42,20,17,33
R_3R7QfUTB9pAJtT5,paradise,1,4,6,5,5,2,2,1,2,1,4,6,6,71,38,29,39,20,38,28,13,17,17,28
R_2zIqWReSqouLouy,paradise,1,5,5,4,4,2,2,1,4,1,5,5,5,62,47,30,50,38,30,65,46,22,17,30
R_3GxkNrEuhoxDbCd,paradise,1,4,5,4,4,2,4,1,5,1,4,5,0,71,55,25,57,36,32,70,29,21,17,25
R_2flbSpk8waSo0dM,paradise,1,2,2,3,3,2,2,4,1,1,2,2,1,71,36,27,58,36,30,73,30,22,17,28
R_3GBuHGTP9u0ziki,paradise,1,4,5,5,5,2,2,1,5,1,4,5,5,75,45,28,35,51,23,59,41,20,18,35
R_1CwInCbEYMvQx3V,paradise,1,5,6,2,4,1,2,1,4,1,5,6,8,70,35,28,64,35,21,35,34,21,18,29
R_2fsd2ypzjbHDpVb,paradise,2,2,3,1,4,2,2,1,1,1,2,3,3,49,37,30,52,36,23,37,14,20,18,30
R_1JF1lHrmSIlM0O4,paradise,2,1,3,2,3,2,8,1,3,1,1,3,7,67,42,30,49,31,40,74,34,22,18,27
R_2zHoYLBXvftjRx2,paradise,1,1,1,5,5,1,2,3,1,1,1,1,2,67,32,28,42,49,28,38,54,19,18,25
R_9nomIhyuXij0PMR,paradise,1,2,1,5,4,2,2,3,3,1,2,1,1,52,29,30,63,37,25,66,44,22,18,33
R_vwdVwZEGDCydWI9,paradise,1,2,2,4,3,2,2,3,2,1,2,2,3,69,29,28,39,41,22,58,42,20,18,33
R_33yE8jRnePFW3Hz,paradise,2,3,3,3,3,2,2,3,5,1,3,3,4,73,35,32,50,41,31,67,49,21,18,43
R_1QzmT5rVigNZz56,paradise,1,1,1,5,4,2,2,1,2,1,1,1,7,66,41,31,67,40,34,83,35,22,19,30
R_2zdUrdSyCknBF4J,paradise,3,3,3,1,2,1,2,1,4,1,3,3,1,43,32,28,65,35,32,77,32,20,19,24
R_sR0OOAlxyRIVjjj,paradise,1,4,3,5,5,2,2,1,2,1,4,3,1,79,44,26,59,36,29,62,33,20,19,31
R_cOwpP6pgHICDVND,paradise,1,5,5,4,4,2,2,1,1,1,5,5,1,66,36,27,50,39,31,61,34,22,19,34
R_2OHMP1eNy3FqtGG,paradise,1,2,2,2,2,2,2,1,4,1,2,2,1,65,51,19,64,30,31,45,19,20,19,30
R_1Svudmes90FKcrT,paradise,1,4,2,5,5,2,2,1,4,1,4,2,7,70,54,26,85,32,37,42,28,20,19,27
R_27KmKvgSNLLSXBZ,paradise,1,3,3,3,4,2,2,1,2,1,3,3,1,80,60,29,48,39,32,66,38,20,19,36
R_2s6Az9dH2eUy1uy,paradise,1,4,4,4,4,1,4,1,5,1,4,4,3,68,49,25,50,36,30,70,33,22,19,32
R_bPETPMFrqJalCGR,paradise,2,4,2,5,3,2,5,1,3,1,4,2,1,69,38,31,62,43,31,68,39,20,19,32
R_9oEVT1EvCIbtyPD,paradise,1,5,5,4,4,2,2,3,3,1,5,5,5,56,45,29,52,41,29,84,24,20,19,31
R_31ZzGhP3bKmKl0I,paradise,2,2,2,4,4,2,2,1,1,1,2,2,6,72,40,31,81,35,35,72,40,21,20,34
R_2tFOsPV7OV7w9zQ,paradise,2,4,3,4,5,2,2,1,4,1,4,3,3,62,42,27,53,41,37,48,35,20,20,31
R_24JkZ1F7iuiGoW9,paradise,1,2,2,4,5,1,2,1,6,1,2,2,2,77,38,24,52,33,29,78,20,21,20,29
R_1FA4AioOjlWqsB6,paradise,1,2,3,3,3,2,2,1,5,1,2,3,7,67,33,29,72,44,31,45,47,20,20,30
R_2zp5T1HErZ4OKIz,paradise,1,7,6,5,4,1,2,1,5,1,7,6,3,62,46,24,75,41,38,60,25,20,20,35
R_10YiU65s4cpjhJS,paradise,1,2,3,4,4,2,2,2,1,1,2,3,6,80,40,32,60,45,30,72,44,21,20,30
R_2EhPeXwPQpxV4pX,paradise,1,2,3,3,3,2,2,2,1,1,2,3,5,75,48,24,60,39,30,72,44,20,20,30
R_3nOgwaPY8uXtdEB,paradise,1,6,6,4,4,2,2,1,5,1,6,6,5,77,34,31,52,33,31,81,41,22,21,36
R_2CrbxYHvkv2PFA1,paradise,1,6,1,5,5,2,2,1,2,1,6,1,1,66,46,17,70,31,31,31,16,22,21,32
R_b8f8nqG0iWyoNwJ,paradise,1,6,5,4,5,2,2,1,3,1,6,5,5,67,52,26,68,40,39,84,31,20,21,31
R_1C2g76yekBbh3Rr,paradise,1,2,3,4,5,2,2,1,1,1,2,3,3,72,46,27,55,35,35,72,38,22,21,39
R_3MDsQAGf3tKKpiF,paradise,1,6,6,5,4,2,2,1,3,1,6,6,2,76,50,31,47,45,40,75,32,19,21,35
R_t0Ay3NtIEyan9TP,paradise,1,6,6,3,3,2,2,1,8,1,6,6,6,65,32,25,48,36,25,69,43,21,21,32
R_2mM0TdLPhUiT10B,paradise,1,2,1,3,3,1,2,1,3,1,2,1,7,78,42,31,58,41,38,84,42,22,21,38
R_1dmMdKX9pcNamkb,paradise,2,6,7,5,3,2,2,1,1,1,6,7,11,63,31,29,53,38,32,48,36,20,21,35
R_1LTJuFZqHJTWTf5,paradise,2,6,6,5,4,2,2,1,2,1,6,6,0,62,49,27,61,43,30,72,43,21,22,33
