age,gender,school,study_year,local,LonelyA,SleepA,BroodA,ReflectA,SleepQ
2,10,1,4,1,2.2,1.7,2.4,2.2,2.65
2,10,4,3,1,3.4,1.4,1.4,2.8,3.3
1,9,1,2,1,4,1.3,1.6,1.6,3.35
2,9,2,4,2,3.6,1.3,3.2,2.8,3.85
2,9,1,3,1,5.6,2.1,4,4,1.95
1,10,4,2,1,3.8,1.3,3.6,2.6,3.35
2,10,4,2,1,2.6,1.1,2.4,2,3.45
2,9,4,4,1,4.6,1.4,3,1.8,3.3
1,9,2,3,1,4.4,1.4,3,1.8,3.3
2,9,2,3,1,3.8,1,1,1,4
1,9,4,2,1,3.4,2,2.6,2.6,2.5
2,9,4,3,1,3.4,1.7,3.6,2.4,3.15
2,9,4,4,1,4.2,1.4,2.6,3.2,3.3
1,10,1,2,1,4.4,1.3,3.6,2.4,3.35
2,10,2,2,2,3,1.9,2.2,2.6,2.55
1,9,2,2,1,3,1.2,2.4,1.4,3.9
1,9,4,2,1,2,1.3,2,1.8,3.85
1,10,1,2,1,3.4,1.5,3.4,2.4,3.75
2,10,2,4,1,2.8,2.1,1.6,2,2.95
2,9,4,3,1,1.8,1.3,1.8,2.2,3.35
1,10,2,2,1,2,2.2,1.8,1.8,2.9
2,10,1,3,2,3.8,1.4,2.6,3,3.3
2,9,1,4,1,3,1.6,2,2,3.2
2,10,4,4,1,1,1.6,1,1.4,3.7
2,10,1,4,1,3.8,2.3,3.4,3.2,2.85
1,10,4,2,1,3.2,1.7,3.2,2.4,2.65
1,9,4,2,1,2,2,3,1.8,2.5
1,9,1,3,1,3,1.3,1.8,2.8,2.85
2,9,4,2,1,4.2,2.1,3.6,2.8,2.95
1,9,4,3,1,2.2,1.8,3.2,1.4,3.6
1,10,1,3,1,3.2,1.1,1.8,2.4,3.95
1,10,4,2,1,1,1.1,1.4,2.8,3.95
2,10,1,3,1,2.2,1.4,2.6,2.2,3.3
1,10,1,2,1,3.4,1.7,3,3,3.15
1,9,4,3,1,1.6,1.2,2.2,3.2,3.4
1,10,4,3,1,1,1.1,1.2,2.2,3.95
2,9,2,4,1,5.2,1.6,1.8,2,3.2
1,9,2,2,1,2.8,1.6,3.2,3.8,3.2
1,9,2,2,1,2.2,1.9,3,2.8,2.55
1,10,4,4,1,2,1.5,3,3,3.25
1,9,4,2,2,4,1.3,3.2,3,3.35
1,10,4,3,1,2,1.1,2.4,2.2,3.45
2,10,1,4,1,4,1.7,3.6,2.2,3.15
1,9,4,2,1,2.4,1.7,2.2,2.2,3.65
2,10,4,3,2,3.4,1.2,2.6,2.4,3.4
2,10,4,3,1,5,1.5,1.4,1.8,3.25
1,9,4,2,2,4,1.9,3.2,3.4,2.55
1,10,4,3,1,2.4,1.4,3.4,2.4,2.8
1,10,2,2,1,3.4,1.9,3.6,1.6,3.05
2,9,2,3,1,3.2,1.6,2.8,2,2.7
2,10,4,4,2,4.8,1.4,2.8,2.2,3.3
1,10,4,3,2,2,1.8,3,3.8,3.1
2,9,2,4,2,2.4,1.9,3.8,1.4,3.05
2,9,1,4,1,5,1.7,4,3,3.15
2,10,2,4,1,3,1.4,2.8,2.2,3.3
2,9,1,4,1,2.8,1.2,1.8,2.8,3.4
2,9,1,4,1,3.4,1,2.4,3.2,4
1,9,2,3,1,6,1,1.2,1.4,4
1,10,1,3,2,2,1.5,3.2,2.4,3.25
1,9,1,3,1,3.8,1.8,3.6,2.2,3.1
2,9,2,4,1,3.4,1.4,2.6,2.8,3.8
2,9,2,4,1,4.4,2.5,2.8,1.6,2.25
1,10,1,3,1,2.6,1.5,2.8,2.2,2.75
2,10,4,4,1,3.4,1.7,3.4,1.8,2.65
2,9,1,4,1,3,1.9,1.6,3.2,3.05
2,9,4,4,1,3.6,1.7,2.4,3.2,3.15
2,9,4,4,2,2.6,1.5,1.6,3.4,2.75
2,10,2,4,1,2.4,1.9,3.8,2.8,3.05
1,10,4,4,1,1,1,1,2.6,3.5
2,10,4,3,1,3.2,1,2.8,2.4,4
1,9,4,4,1,4.8,1.9,3.6,2,2.55
1,10,1,3,1,3,1.1,2.4,3.2,3.45
1,10,1,3,1,4.2,1.8,2.2,3,3.1
2,9,2,4,1,3.2,1.5,2.8,2,3.25
1,10,2,4,1,2,1.3,2,3.6,3.35
2,10,1,3,2,3.4,1.6,3.6,2.6,2.7
2,10,1,4,1,1.2,1.4,2,1.2,3.8
1,9,4,2,1,2.4,1.5,3,2.6,3.25
1,9,2,3,1,3.6,1.7,3.2,2.2,3.15
2,10,1,4,1,2.4,1.6,2.2,2,3.2
1,10,2,3,1,1.6,1,3.4,2,4
1,10,2,2,1,1.6,2,2.2,3.2,3
1,10,4,3,2,2,2.3,2.4,2.2,2.85
2,10,4,4,1,2.8,1.6,3.2,2.4,3.2
1,9,2,2,2,2.8,2.8,1.8,2.4,2.1
1,10,1,3,1,2,1.3,3.2,4,3.85
2,10,1,4,1,4,2.1,2.4,2.4,2.95
2,10,1,4,1,3.2,1.4,3.6,3.2,3.3
2,10,4,4,1,3.4,1.5,2.4,3.8,3.25
2,9,4,4,1,4.6,1.8,3.4,2,3.1
2,10,4,4,1,2.4,1.6,2.4,1.8,3.2
1,10,1,2,1,2.8,1.9,2.6,3,3.05
1,10,1,3,1,2,1.5,2,1.8,3.25
2,10,4,4,1,2.2,1.5,2.6,3.4,3.25
1,10,1,2,1,2.6,1.7,3,2.8,3.15
1,10,1,2,1,1.2,1.8,2.4,2.8,3.1
1,9,2,2,1,4,1.1,2.6,3.2,3.45
