ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_2ZE0Pl3aaFv4rhG,stockton,1,5,5,2,3,2,2,1,1,1,5,5,5,63,37,22,76,36,37,81,16,18,13,24
R_bpYmOXmru2iN67L,stockton,1,2,2,5,5,1,2,1,3,1,2,2,8,69,41,27,70,34,39,79,32,19,13,31
R_2rYE6IVW8ux85Yv,stockton,1,6,6,4,4,2,2,4,2,1,6,6,2,60,44,23,60,43,30,57,36,19,13,35
R_eexbIsK95jK4d45,stockton,1,4,3,4,3,1,2,4,1,1,4,3,4,63,31,26,56,38,34,66,39,21,13,30
R_1K8ZzebpWoyD6uA,stockton,2,2,3,4,5,1,2,1,2,1,2,3,2,61,40,28,56,36,37,62,35,21,14,29
R_Y3SKThqEBz6Jjd7,stockton,3,5,5,4,4,3,2,1,1,1,5,5,3,58,31,30,61,40,28,68,11,22,14,32
R_2foET36QcuYCpwh,stockton,2,4,4,5,2,1,4,3,1,1,4,4,5,68,44,30,63,27,40,53,43,20,14,30
R_NVFz6aPZikuzPSF,stockton,1,6,7,5,5,2,2,4,7,1,6,7,5,73,39,30,77,35,36,84,38,22,14,38
R_AI4HykpBTAuCtH3,stockton,2,4,4,4,3,2,2,4,6,1,4,4,3,72,54,26,54,42,25,45,40,20,14,28
R_2yloH8kVo2QajIe,stockton,3,4,2,4,4,2,2,4,7,1,4,2,1,63,31,31,58,42,26,57,36,20,14,35
R_3erV3w4ubmriDOR,stockton,1,6,5,4,4,2,2,1,7,1,6,5,3,66,45,28,62,34,37,67,36,20,15,32
R_3PvRazKEsWfttyp,stockton,1,6,6,4,4,2,2,1,6,1,6,6,8,69,38,31,50,35,30,84,36,17,16,28
R_78I0bk6IXH4S9pL,stockton,2,2,3,4,5,2,2,1,6,1,2,3,0,78,37,30,67,35,32,76,38,21,16,36
R_1pysQfgjm92OSej,stockton,3,2,3,2,4,2,2,1,7,1,2,3,2,74,37,30,53,38,29,69,42,19,16,35
R_bPoDbhmYVVuo3RL,stockton,1,4,4,5,5,2,2,1,1,1,4,4,3,75,43,30,21,47,40,70,42,22,16,27
R_2sdxbcCVdsm8xzT,stockton,3,2,3,3,3,2,2,1,7,1,2,3,2,61,35,30,49,36,31,62,38,21,16,31
R_1HkQeX2lxi3jPWd,stockton,1,1,3,1,3,2,5,1,1,1,1,3,5,56,36,28,81,44,38,80,37,22,16,30
R_1kZhXIoqdru4d3R,stockton,1,2,1,5,3,2,2,4,1,1,2,1,5,63,30,31,54,39,29,22,30,16,16,32
R_31nKwc6SeUZn8jL,stockton,1,6,7,5,5,2,2,1,1,1,6,7,4,76,39,30,79,45,40,14,36,19,17,27
R_3Hn3O5fkZqEOQiY,stockton,1,4,2,5,4,1,2,1,4,1,4,2,10,70,35,30,72,38,35,84,40,21,17,32
R_vicsZ8Ejx3P4T05,stockton,1,4,3,4,4,2,2,1,1,1,4,3,2,65,31,28,45,41,29,82,39,21,17,33
R_3qByajitauz5Nkc,stockton,1,1,1,4,4,2,2,1,6,1,1,1,2,75,38,30,63,37,29,77,24,19,17,32
R_3JsyGRiIeOhTWXu,stockton,1,4,6,3,3,2,2,1,1,1,4,6,5,75,37,32,48,42,31,77,42,22,17,32
R_3fw0p9vCHjhypzC,stockton,2,4,4,3,4,2,2,1,1,1,4,4,3,64,39,27,49,32,30,84,38,22,17,34
R_uwB9gPWPPijYH5v,stockton,1,5,5,4,4,2,4,1,7,1,5,5,5,51,46,31,67,36,37,71,40,22,17,32
R_1oFFca4nOy4YQv7,stockton,1,2,2,3,3,2,2,2,2,1,2,2,0,78,42,29,73,42,30,70,36,21,17,31
R_3fuAutIgA5AASGu,stockton,2,3,3,4,4,2,2,1,6,1,3,3,2,70,38,32,65,40,34,84,52,19,18,33
R_3EXYowCGCrw8Ic9,stockton,1,3,3,2,4,2,2,1,7,1,3,3,4,71,38,30,67,36,39,66,37,21,18,29
R_1rjlE0dMISAPboF,stockton,1,2,2,3,4,2,2,1,1,1,2,2,4,71,35,32,59,39,28,75,31,21,18,32
R_BWZa81g9p337Tl7,stockton,1,5,5,4,5,2,2,1,1,1,5,5,0,78,38,29,32,27,32,65,39,21,18,31
R_3w3eMf2UUKiLd0R,stockton,1,4,5,4,4,2,2,1,7,1,4,5,3,68,33,25,70,37,26,78,46,20,18,30
R_cHNT7aEjyv275C1,stockton,1,4,3,3,4,2,2,1,1,1,4,3,5,70,40,31,57,40,39,81,39,18,18,36
R_3MM6Ji0usY7sLCq,stockton,1,2,1,4,5,2,2,1,6,1,2,1,3,67,43,29,56,44,21,70,30,22,18,30
R_BsMgmiEtLnoFFcJ,stockton,3,6,5,2,5,2,2,3,7,1,6,5,1,62,35,32,52,45,28,77,33,22,18,39
R_2XjJtx9cy5TKQ36,stockton,1,4,4,5,5,2,2,1,1,1,4,4,7,72,42,32,66,40,33,75,42,18,19,27
R_1o7r8RRqmvck9Fi,stockton,2,1,1,4,4,2,2,1,1,1,1,1,8,56,33,30,51,34,25,74,45,19,19,34
R_9o7Qx1Mg0Y6B2zn,stockton,1,2,2,3,3,2,2,1,1,1,2,2,0,60,30,28,54,34,20,54,38,21,19,30
R_2VsU6dKXQPAzOJf,stockton,1,4,5,5,4,2,2,1,2,1,4,5,9,69,41,27,69,40,32,68,45,20,19,34
R_1hDXgdzX2t5gv82,stockton,1,3,3,4,4,2,2,1,5,1,3,3,1,60,42,32,65,40,35,75,38,22,19,33
R_2w7yd4bODwFXZza,stockton,2,2,1,2,2,2,2,1,1,1,2,1,0,51,37,29,57,34,29,77,11,21,19,37
R_2rvmQDfE0O1Olg0,stockton,2,2,2,2,3,2,2,1,4,1,2,2,0,68,39,31,72,38,29,77,42,21,19,36
R_33wILd0BAZeK3OC,stockton,1,4,5,4,4,2,2,1,4,1,4,5,0,68,50,28,53,36,30,72,33,21,19,31
R_3oBn4MnpFQtwUIq,stockton,1,4,4,3,3,2,4,1,2,1,4,4,2,76,39,30,55,25,30,68,29,19,19,33
R_cSfKnw3TPbVqqSR,stockton,1,1,1,4,4,2,2,3,6,1,1,1,8,64,36,32,76,42,40,82,55,23,19,30
R_w5ebJR3z0EfKyAh,stockton,1,2,3,4,5,2,2,2,5,1,2,3,6,70,37,28,58,35,33,67,36,21,19,38
R_2rZqkvt4JqWswQc,stockton,3,2,3,4,4,2,2,1,6,1,2,3,2,70,34,29,62,39,34,74,37,21,20,34
R_3rUopUBI59Rglh6,stockton,3,2,3,3,4,2,2,1,7,1,2,3,3,56,37,30,50,33,37,78,38,20,20,27
R_XtUdI9TpyP1tKAp,stockton,1,5,5,5,5,2,2,1,7,1,5,5,2,78,39,8,43,37,29,72,38,21,20,31
R_3s5ETirR88MsGWN,stockton,2,2,3,1,4,2,2,1,7,1,2,3,2,64,36,29,50,35,30,80,32,19,20,30
R_1EhuS7PEozygh5K,stockton,1,6,5,5,5,2,2,4,8,1,6,5,1,72,35,30,43,40,35,59,48,20,20,38
R_2qq6qie0nwMmI8z,stockton,1,2,2,4,4,2,2,1,7,1,2,2,6,66,40,32,78,39,30,84,43,19,21,44
R_3MAoElHsWx9stsc,stockton,1,4,3,4,4,2,2,1,2,1,4,3,8,69,38,27,64,37,30,74,38,21,21,30
R_vMhsCGa1AGmgQ1z,stockton,1,3,3,5,5,2,2,1,6,1,3,3,0,76,41,31,61,35,32,62,40,21,21,37
R_BLAOnrSCqJ8vZAZ,stockton,1,3,4,1,3,2,2,1,2,1,3,4,9,77,39,29,65,37,33,77,30,22,21,39
R_xACwcdS3mhHmRYl,stockton,1,3,3,4,4,2,2,1,1,1,3,3,0,74,34,32,53,40,25,67,36,21,21,34
R_vZCnds9l4KSq1cl,stockton,1,3,3,5,5,1,2,1,7,1,3,3,9,77,39,29,64,36,40,80,40,22,21,45
R_pQzKYmMiio6n7RT,stockton,1,2,2,4,4,2,4,1,7,1,2,2,4,68,30,28,51,39,30,70,43,17,21,34
R_3JlsSqxjVI3HKGG,stockton,1,4,5,3,4,2,2,1,6,1,4,5,6,63,35,25,63,33,30,58,27,19,22,29
R_1hzF1Gq0QeogRoW,stockton,3,6,6,5,4,2,2,1,7,1,6,6,6,77,34,27,59,42,27,84,46,19,22,34
R_2dKFE0ciVPMmpa5,stockton,3,2,2,4,5,2,2,1,1,1,2,2,9,65,34,31,50,29,39,57,40,20,22,35
R_27NIpziQ7f3dLpM,stockton,1,5,5,3,3,2,2,1,8,1,5,5,3,49,39,28,58,42,34,50,29,20,22,37
R_3irpXOdrEryLP9u,stockton,1,4,3,4,4,2,2,1,1,1,4,3,4,51,40,30,52,26,30,48,33,23,22,31
R_3Dc3thpgmbrI3g8,stockton,1,2,1,4,4,1,2,1,7,1,2,1,1,57,38,30,66,33,29,43,36,22,22,32
R_3RvYbZBIFpudPzr,stockton,1,6,6,1,1,2,2,1,7,1,6,6,7,37,1,32,32,52,37,73,50,18,22,38
R_3NJUBGXoolTmIxe,stockton,1,4,3,4,4,2,2,3,6,1,4,3,1,75,40,32,53,43,38,84,44,22,22,45
R_cHhzZCDfIFXfNsJ,stockton,2,5,6,4,4,2,2,5,7,1,5,6,7,52,50,31,32,36,35,66,46,16,22,36
R_yym10RKiHtU4OJz,stockton,2,4,4,2,4,2,2,2,4,1,4,4,3,75,35,29,67,30,30,70,27,18,22,29
R_1DpSVgNK2WGepmU,stockton,1,2,4,4,3,2,2,1,2,1,2,4,7,73,43,29,69,42,38,66,40,22,23,32
R_2zSlriUihejFuHu,stockton,1,3,5,4,3,2,2,1,4,1,3,5,0,70,42,30,63,36,31,72,29,21,23,30
R_3HugxwtrYkN8Y3I,stockton,1,2,2,3,3,2,2,1,6,1,2,2,0,70,54,28,38,33,38,61,32,21,23,35
R_2Vm6lie8QlWtwnW,stockton,2,2,2,5,4,2,2,1,1,1,2,2,2,77,37,29,67,39,30,84,31,21,23,31
R_0SWvon67Pp6xoad,stockton,1,1,1,1,2,2,4,1,7,1,1,1,4,64,42,31,61,38,35,84,37,19,23,29
R_2Tzs9HYueXYa7Jk,stockton,3,6,2,4,4,2,2,5,3,1,6,2,4,52,28,32,54,37,23,72,38,21,23,37
R_2dRd2O028fnf4Vv,stockton,1,1,3,4,5,2,2,3,4,1,1,3,3,69,38,30,49,35,33,70,32,22,23,37
R_1ewVD7tcTWUmjzZ,stockton,1,1,1,3,3,2,2,3,7,1,1,1,11,69,36,30,41,39,31,83,44,16,23,46
R_11ZRxisCLB5shIK,stockton,2,2,2,2,4,2,2,4,3,1,2,2,6,73,38,28,78,35,32,68,39,21,23,28
R_QgDEUzAr7l4BedX,stockton,1,5,5,4,3,2,2,1,7,1,5,5,0,74,32,29,59,37,28,65,40,21,25,32
R_2YXiMiftMCV1Zc2,stockton,1,4,2,4,4,2,2,1,1,1,4,2,1,65,44,26,80,40,28,80,36,22,25,33
R_T7B0VxgNivNji1P,stockton,2,5,5,4,3,2,2,5,7,1,5,5,8,59,47,29,35,37,30,58,44,17,25,30
R_2uvPxblYnxCeGK4,stockton,2,4,3,4,3,2,2,1,1,1,4,3,0,59,36,28,67,42,33,68,43,21,26,35
R_2TSrRED2kcaAAUm,stockton,1,4,3,2,3,2,2,1,6,1,4,3,1,57,35,30,35,33,28,76,28,22,26,39
R_2YX2JFuugBSqzat,stockton,1,6,6,4,4,2,2,1,5,1,6,6,3,75,33,32,37,37,29,73,22,18,26,34
R_27Uwpt4BAtw8Uht,stockton,1,2,4,4,3,2,2,1,2,1,2,4,0,73,38,30,71,38,33,80,35,21,26,30
R_1hSAzVcfz4WHcBK,stockton,2,6,6,4,4,1,2,1,7,1,6,6,5,76,31,28,48,42,25,81,52,20,26,34
R_2E0MSfuqHWYJ5L5,stockton,1,4,5,5,5,2,2,1,7,1,4,5,3,74,37,32,79,36,40,84,36,22,26,40
R_xykCZZdnteyZF1T,stockton,1,2,2,4,4,2,4,2,2,1,2,2,7,74,43,30,64,33,31,72,34,20,26,28
R_SPh0iKrxFCo3p6h,stockton,2,2,5,4,2,2,2,1,7,1,2,5,4,69,32,32,29,42,26,82,41,19,27,39
R_vP6LiGCEIKmK1cR,stockton,2,2,3,1,1,2,2,1,3,1,2,3,4,59,37,27,54,33,31,59,43,19,27,35
R_1MSBeqBiAyeyxPz,stockton,1,1,1,4,4,2,2,1,3,1,1,1,1,74,45,31,82,40,33,55,39,20,27,39
R_5hGPjcW4Oq5oOfn,stockton,1,3,3,5,5,2,2,1,6,1,3,3,6,64,33,27,51,35,30,56,36,19,27,30
R_21nxJoaUI4ZSxSj,stockton,1,2,2,5,5,2,5,3,4,1,2,2,1,76,52,30,69,31,39,75,23,20,27,32
R_3CEnztWGtBmxgWo,stockton,1,6,5,3,3,2,2,1,7,1,6,5,6,69,43,25,53,32,29,64,28,19,28,28
R_3LgSsqJIHHK6SoQ,stockton,2,2,3,5,5,1,2,4,5,1,2,3,0,74,38,30,42,36,33,81,37,21,28,29
R_1FfVIhmrj3PdnzQ,stockton,1,6,6,4,4,2,2,1,1,1,6,6,3,80,36,30,49,31,30,66,33,20,29,37
R_2qh0NIztiGBy25h,stockton,1,3,6,5,5,2,2,1,8,1,3,6,7,78,42,32,35,36,39,63,52,20,31,40
R_qFp5bDSUHkK3ArL,stockton,1,2,2,3,3,2,2,1,1,1,2,2,8,62,38,30,49,43,32,80,33,23,32,34
R_10Uyk0IFlCgwSSS,stockton,1,4,6,4,3,2,2,1,4,1,4,6,5,71,53,29,71,38,28,76,30,16,32,40
R_yOr8H3Xq0bJ3BGV,stockton,3,2,1,4,3,2,2,1,1,1,2,1,3,54,33,32,47,31,29,43,32,18,33,36
