ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_2WNENSYqvNIYrek,bradley,2,6,5,2,4,1,2,1,1,1,6,5,0,68,35,26,59,35,32,51,13,21,13,33
R_3J2CJOTD3CvrIVJ,bradley,1,3,2,2,4,1,2,1,2,1,3,2,3,74,36,31,79,35,38,84,32,20,13,35
R_1DNZvoLmuuExHjU,bradley,1,4,6,5,4,1,2,1,1,1,4,6,9,39,27,29,85,36,36,68,45,22,13,27
R_AsySXq5iE5ayAjT,bradley,1,6,6,5,5,2,2,1,1,1,6,6,0,69,28,32,65,39,30,76,21,21,13,31
R_3IPE4fyMxiB4pIU,bradley,2,3,3,4,4,1,2,1,7,1,3,3,3,53,33,26,45,28,31,53,39,18,13,30
R_22z9J8lgxlpZieS,bradley,1,2,2,3,2,1,5,1,1,1,2,2,3,58,35,29,51,40,30,72,35,22,13,32
R_21cho5upFWr0Vws,bradley,1,2,2,3,3,2,2,2,4,1,2,2,4,75,38,31,73,23,35,74,12,21,13,29
R_2CQawGYqxKUeTdc,bradley,1,6,5,4,5,1,2,1,7,1,6,5,3,66,37,30,55,28,38,84,17,22,14,34
R_3nC4fBEx2iiSn4G,bradley,3,2,1,2,1,2,4,2,6,1,2,1,5,68,31,32,81,34,34,80,49,20,14,24
R_2CDQePtJcoALt6Y,bradley,1,5,2,3,3,2,2,3,8,1,5,2,7,74,48,27,83,33,38,73,20,18,14,39
R_1P12tewQiNaWVwR,bradley,1,6,7,4,4,2,2,1,7,1,6,7,3,73,35,29,62,34,32,74,35,22,15,23
R_27Kbc4h36ZqmIUC,bradley,1,2,2,2,4,1,2,2,4,1,2,2,4,71,38,25,75,26,40,84,27,19,15,29
R_1NyRjqbkkOr44pv,bradley,1,1,1,5,5,1,2,1,2,1,1,1,3,80,48,28,35,53,38,84,55,20,16,36
R_DzWwTkd9pQcf9f3,bradley,1,2,2,3,4,2,2,1,2,1,2,2,8,71,38,29,56,39,40,78,34,19,16,35
R_24eLoLssITght39,bradley,2,1,1,2,5,2,2,1,2,1,1,1,1,67,37,29,50,38,31,77,42,22,16,29
R_3KxtOOOLtujVRBW,bradley,3,6,6,5,5,1,2,1,8,1,6,6,0,74,38,29,49,42,34,76,30,21,16,36
R_28NVyFlvSDHBv8L,bradley,2,3,3,4,4,1,2,1,7,1,3,3,4,71,39,29,56,41,29,84,27,17,16,35
R_2zdbaGc8oBc13FN,bradley,1,7,7,5,4,2,2,1,8,1,7,7,3,72,38,30,57,41,28,74,34,18,16,38
R_31FLGJ9fH6nJdoy,bradley,1,5,5,4,5,1,2,1,6,1,5,5,4,64,34,32,59,37,30,72,44,21,16,35
R_1Q0AAMvHoImZ0uA,bradley,3,3,3,2,2,2,2,1,6,1,3,3,3,73,31,32,53,45,29,77,41,18,16,33
R_1GTxM6CgBNoILOz,bradley,1,1,1,1,2,2,2,1,6,1,1,1,6,59,35,30,65,37,33,77,28,17,16,32
R_9AhmjtIonjUpgB3,bradley,1,2,3,2,4,1,2,1,1,1,2,3,3,59,40,29,37,39,31,74,40,22,16,27
R_1JLOiQ0JhjLzxq9,bradley,1,1,1,4,4,2,8,2,3,1,1,1,0,70,46,29,54,42,29,66,22,21,16,26
R_29uZcKG6nhjXHAg,bradley,1,2,1,3,3,2,2,1,6,1,2,1,4,71,32,32,70,33,30,70,35,21,17,29
R_xzISJ4ujcslhKEx,bradley,2,6,6,4,4,2,2,1,5,1,6,6,4,74,29,31,67,38,34,63,43,19,17,28
