ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_2Tw1vanOGg94N12,Norco,1,6,5,1,3,1,4,1,2,1,6,5,9,58,41,28,67,35,37,83,11,18,13,28
R_2ZUIwuHF4lharOz,Norco,1,2,3,4,4,2,4,1,6,1,2,3,2,72,37,28,68,34,31,71,36,21,13,29
R_2dhcIZn260osGse,Norco,1,4,6,4,4,2,5,1,5,1,4,6,1,69,51,26,53,37,29,65,31,20,13,34
R_24dEXp0QpQ0qThf,Norco,1,7,1,5,5,1,9,1,7,1,7,1,11,63,59,32,84,33,40,84,50,20,13,27
R_bl0bKn0zOPafeq5,Norco,1,5,5,4,3,1,4,1,7,1,5,5,1,66,39,23,47,35,29,77,14,22,14,31
R_1dsDI3zBsKuHUD4,Norco,1,7,7,5,5,1,9,1,6,1,7,7,12,69,59,29,85,30,40,76,25,19,14,29
R_2YV5euZFQeD40O6,Norco,1,3,2,2,3,1,4,4,5,1,3,2,3,41,5,23,55,42,28,63,27,20,14,36
R_8BugLKRu4ivBluN,Norco,1,2,4,4,5,1,4,1,4,1,2,4,9,44,42,28,84,20,34,83,43,22,15,28
R_1FRIvDGJw0IvJ7t,Norco,2,3,3,2,4,1,2,3,5,1,3,3,4,61,38,26,58,22,33,63,24,23,15,24
R_2U4VhwkhOTYCiGH,Norco,1,3,3,5,5,2,5,3,3,1,3,3,1,68,38,29,74,33,35,73,26,20,15,33
R_21pTYjW4eSAtdjL,Norco,1,4,4,1,2,1,2,1,2,1,4,4,3,50,33,29,63,32,29,50,13,22,16,27
R_2eRsKNu2YYJvwUO,Norco,3,4,4,1,2,2,2,1,1,1,4,4,0,59,38,30,60,41,33,70,31,21,16,28
R_3CDyrPVMlxI9pD6,Norco,1,2,4,4,5,2,9,1,5,1,2,4,7,57,51,31,82,35,40,76,43,24,16,28
R_3IbKOM0Uq989F0E,Norco,2,2,2,1,1,2,2,2,2,1,2,2,3,59,36,32,29,40,31,73,33,20,16,37
R_3QVqfBx4vLc21ro,Norco,2,2,2,4,4,2,2,4,1,1,2,2,6,55,40,27,62,40,32,69,36,21,16,28
R_2rMYEUSOyA9Tqme,Norco,1,5,2,4,5,2,4,5,8,1,5,2,5,69,45,24,71,30,30,73,23,20,16,32
R_1ml5YrmwOJCaknP,Norco,1,5,7,4,4,2,2,1,7,1,5,7,1,69,50,19,56,35,37,67,23,20,17,29
R_2WCfEi8LsMERmgL,Norco,1,2,4,5,5,1,5,1,8,1,2,4,9,70,58,28,86,29,40,80,47,22,17,23
R_33ro8nW7e2YYnno,Norco,2,5,6,5,5,1,8,1,1,1,5,6,2,75,38,30,63,39,32,70,17,19,17,35
R_3MJTiXNwjNZkKvg,Norco,2,4,2,3,4,1,2,2,1,1,4,2,1,76,33,29,75,34,29,74,34,20,17,32
R_3nvga38IA3sM9jB,Norco,1,3,1,5,5,2,2,3,3,1,3,1,4,64,28,31,50,38,26,79,36,19,17,31
R_1IbcJe97wEYD9gL,Norco,1,3,2,4,4,1,2,3,4,1,3,2,1,57,51,28,52,33,30,51,11,22,17,31
R_sySFV365cdiXbgt,Norco,2,1,2,4,3,2,2,3,7,1,1,2,1,58,35,31,63,35,29,62,31,20,17,28
R_2rC7omdbgAZpAhS,Norco,1,6,3,5,5,2,1,4,1,1,6,3,4,77,46,32,72,37,34,84,35,17,17,36
R_25GUrqW4A0VpYuW,Norco,1,4,3,5,4,1,2,6,6,1,4,3,1,68,33,30,49,38,29,34,30,20,17,35
R_2sbFRoR3RmwtrNn,Norco,1,6,5,5,4,2,3,1,7,1,6,5,8,66,52,25,65,35,33,55,32,17,18,35
R_6u7KxgHRZQUhu6J,Norco,1,3,3,4,4,1,2,1,6,1,3,3,3,62,38,29,77,35,37,73,38,20,18,27
R_1NrKrCj77d4qcaQ,Norco,1,4,5,4,5,1,2,1,7,1,4,5,7,74,37,24,68,31,32,41,11,18,18,38
R_pbC6SSg6t378gJr,Norco,1,1,3,1,2,3,5,1,1,1,1,3,4,58,41,31,61,32,37,58,37,21,18,36
R_24inmFCgE3hePF7,Norco,1,6,6,5,4,2,5,1,1,1,6,6,2,70,56,22,75,36,34,82,33,19,18,30
R_1Nkb4lr7jbLrxZd,Norco,1,2,1,4,5,2,9,1,7,1,2,1,1,58,58,22,41,38,33,57,36,20,18,33
R_3iyfax9Wz3g6KpU,Norco,2,2,2,3,3,2,4,3,5,1,2,2,2,61,41,25,57,37,30,72,37,21,18,37
R_3frQZvTfUxpJY4O,Norco,3,2,4,3,5,2,8,3,3,1,2,4,7,78,41,30,70,37,40,42,25,20,18,30
R_3QYn0yOBPRUmHFE,Norco,1,4,3,4,4,2,5,3,8,1,4,3,5,65,55,22,78,32,40,70,12,20,19,34
R_1E6VtbRvOaIBQtd,Norco,1,3,2,4,3,2,8,4,5,1,3,2,5,78,35,22,68,41,23,66,32,22,19,34
R_3EF1jmHQKMj1IP9,Norco,1,4,1,1,3,2,2,2,6,1,4,1,3,75,38,25,65,25,29,41,13,18,20,29
R_27Qi1buo57Iv5RF,Norco,3,3,1,5,5,2,2,3,4,1,3,1,7,80,40,31,39,41,25,68,34,20,20,22
R_7V4apAPdj6yRwfT,Norco,1,2,3,2,3,2,1,3,5,1,2,3,5,62,48,26,66,33,29,80,31,20,20,24
R_3dWKufDlLK5LCmd,Norco,1,5,4,5,4,2,9,6,1,1,5,4,2,78,52,28,50,33,30,72,33,19,20,33
R_30khxBWNF03NWP8,Norco,2,6,5,5,2,2,2,3,4,1,6,5,1,78,37,29,58,20,34,62,33,20,21,37
R_1OmHcZo78oTST0R,Norco,1,5,7,5,4,2,2,1,2,1,5,7,7,75,48,32,53,45,37,82,52,20,21,32
R_1jNHqZIl13akeER,Norco,2,2,2,3,4,2,3,3,3,1,2,2,4,60,40,27,48,32,30,74,41,21,21,34
R_2QiCOHhzadXkDMa,Norco,2,3,3,5,4,2,2,3,1,1,3,3,2,59,34,31,59,27,33,57,22,19,21,32
R_268x6tDEkJlZZBK,Norco,1,4,4,4,3,3,2,3,1,1,4,4,0,58,29,29,33,37,32,72,41,21,21,37
R_1ps4iVMLegLpqEb,Norco,1,5,2,5,5,2,2,3,3,1,5,2,2,57,51,32,81,38,32,84,34,19,21,35
R_qURPMz0jlppHP6V,Norco,2,3,3,4,4,2,2,4,1,1,3,3,2,45,36,27,74,31,33,79,33,21,21,26
R_3NP6lCf4W5PTWqC,Norco,2,4,4,1,1,1,2,1,7,1,4,4,0,49,38,21,64,29,28,74,16,21,22,36
R_28UQn8HPB2baDGY,Norco,1,4,2,4,3,2,2,1,3,1,4,2,3,65,38,27,58,38,27,51,29,22,22,31
R_0q8r4AJ0KRqJD6F,Norco,1,6,2,3,2,2,5,1,6,1,6,2,0,63,59,18,83,33,31,73,22,21,22,32
R_1HkQvgoFlOQaC1K,Norco,1,2,1,1,3,2,2,3,4,1,2,1,1,57,38,31,67,36,39,84,41,22,22,34
R_3HzbGPxye5EsyaC,Norco,2,3,2,4,4,2,2,2,7,1,3,2,2,73,38,29,56,40,31,70,35,19,22,35
R_1iaHJacpmRXp8tM,Norco,1,1,1,1,1,2,4,3,5,1,1,1,8,59,32,28,63,37,27,67,41,17,22,34
R_1q9isvEfz3YWxjb,Norco,1,2,2,2,4,2,2,1,2,1,2,2,2,50,35,30,63,35,25,77,39,21,23,35
R_1ohC7WLeB4p1ZYs,Norco,1,3,3,4,4,1,2,1,2,1,3,3,2,67,38,27,48,36,27,76,27,19,23,35
R_2uvQyj5NgGQmiGI,Norco,1,4,3,3,3,2,4,1,1,1,4,3,4,70,44,30,50,43,33,73,34,21,23,35
R_3MbeRqw5AGCYebk,Norco,2,5,2,4,4,2,2,3,3,1,5,2,0,55,30,28,57,37,29,44,33,21,23,27
