Master_Plot,NO_LichenSpp,NO_LichensMatrix,NO_indeterminatespp,NO_PBAbsent,NO_PBCyanobact,NO_PBGreencoccoid,NO_PBGreentrent,NO_PBPolymorph,NO_PBGreenStichoc,NO_Bark,NO_Humus,NO_Lichen,NO_noncalc.rock,NO_Wood,NO_Leaf,NO_Calc.rock,NO_Fungi,NO_Hepatics,NO_EpiphyticMacrolichenNO_,NO_EpiphyticMacrolichenYes,NO_Lichenized,NO_nonLichenized,NO_ParasiteNo,NO_ParasiteYes,NO_Crustose,NO_Foliose,NO_Fruticose,NO_Polymorp,NO_Squam,NO_Umbilicate,NO_FungalAsexual,NO_LichenizedAsexual,NO_Polymorphic,NO_Sexual,Date_Inventoried,DateSampled,State,Plot_Code_AUTOFILLS,SiteNameEmu,County,OwnerEmuIRN,Jurisdiction,Locality_Data,HabitatData,General_Geology,Precise_Geology,Latitude,Longitude,Elevm,Slope,Aspect,Collecting_Time_Mins,NO_Collectors,LichenDiversity,NO_VoucherCollections,WetDryDay,RockCover,LargeTrees,CanopyCover,Understory,Weediness,Recruitment,Litter,Loggyness,PatchSize,Neighborhood,DistancetoCore,SumHabitatQuality,SumDBH,AverDBH,NO_Shrubspp,NO_Treespp,NO_Woodyspp,Notes
1,80,77,3,1,9,54,13,0,0,70,3,1,3,0,0,0,0,0,44,33,76,1,76,1,40,26,5,2,4,0,1,38,2,36,1/5/2015,1/5/2016,NC,NC-MP-1,GSMNP-Forney Creek,Swain,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, Lakeshore Trail 0.3 mi E of jct w/ Forney Creek Trail and Forney Creek","South-facing acid cove forest (Quercus alba and Q. prinus dominant, with Acer rubrum, Betula lenta, Carya, Halesia, Ilex opaca, Liriodendron, Pinus serotina) with understory of Arundinaria, Kalmia and Rhododendron",Non_calcareous,Non_calcareous,35.4675,-83.5617,564,10,South_facing,60,1,80,91,Dry,.5,6,3,20,11,10,5,3,10,5.2,5,78.2,568,81.14,4,13,17,surveyed before start of Dims project
2,84,83,1,0,8,66,8,1,0,74,3,0,4,2,0,0,0,0,48,35,83,0,83,0,43,30,4,4,2,0,0,36,4,43,1/5/2015,1/5/2016,NC,NC-MP-2,GSMNP-White Oak Branch,Swain,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, White Oak Branch Trail 0.45 mi W of jct w/ Forney Creek Trail at Forney Creek","East-facing acid cove forest (Acer rubrum and Liriodendron dominant, with Betula lenta, Ilex opaca, Quercus prinus and Q. alba)",Non_calcareous,Non_calcareous,35.4828,-83.5597,670,5,East_facing,60,1,84,91,Dry,.5,4,5,15,11,10,5,3,10,5.2,5,73.2,586,83.71,1,14,15,surveyed before start of Dims project
3,62,61,1,2,10,43,4,2,0,54,2,0,4,0,0,1,0,0,30,31,59,2,61,0,27,26,7,1,0,0,0,36,2,23,1/5/2015,1/5/2016,NC,NC-MP-3,GSMNP-White Oak Homestead,Swain,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, NW of jct of White Oak Branch Trail and Lakeshore Trail","Disturbed south-facing acid cove forest (Acer rubrum and Liriodendron dominant, with Aesculus, Ilex opaca, Quercus alba, Pinus serotina and Tsuga canadensis)",Non_calcareous,Non_calcareous,35.47,-83.5583,603,2,South_facing,60,1,62,67,Dry,.5,3,0,15,7,10,5,3,10,5.2,5,63.2,536,134,3,10,13,surveyed before start of Dims project
4,59,57,2,0,0,57,0,0,0,46,3,0,2,6,0,0,0,0,25,32,57,0,57,0,21,25,7,4,0,0,1,36,5,15,1/7/2015,1/7/2016,TN,TN-MP-4,GSMNP-Clingmans Dome,Sevier,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, summit of Clingmans Dome, N-facing slope just N of observation tower",Mature Abies fraseri forest with occasional Viburnum,Non_calcareous,Non_calcareous,35.5631,-83.4983,2014,10,South_facing,60,1,59,74,Dry,2,9,4,20,15,10,5,5,8,4.2,5,85.2,565,70.63,2,2,4,surveyed before start of Dims project
5,64,61,3,0,0,59,2,0,0,52,3,0,4,2,0,0,0,0,26,35,61,0,61,0,23,31,4,3,0,0,0,36,2,23,1/7/2015,1/7/2016,TN,TN-MP-5,GSMNP-Mount Collins,Sevier,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, N-facing slope N of Appalachian Trail 0.2 mi S of summit of Mount Collins","Spruce (Picea rubens) – fir (Abies fraseri) forest with many young Abies, occasional Betula alleghaniensis, and openings with Sorbus",Non_calcareous,Non_calcareous,35.585,-83.4747,1864,15,North_facing,60,1,64,73,Dry,2,6,3,20,15,10,5,5,10,4.2,5,83.2,418,69.67,2,5,7,surveyed before start of Dims project
6,57,57,0,0,0,53,4,0,0,52,1,0,2,2,0,0,0,0,28,29,57,0,57,0,26,23,6,1,1,0,0,33,2,22,1/7/2015,1/7/2016,TN,TN-MP-6,GSMNP-Mingus Lead,Sevier,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, S facing slope of Mingus Lead, Appalachian Trail 0.1 mi NW of jct w/ Road Prong Trail and Clingmans Dome Road","Mature spruce (Picea rubens) forest with mixed hardwoods (Betula alleghaniensis, Acer pensylvanicum)",Non_calcareous,Non_calcareous,35.61,-83.4467,1608,15,South_facing,60,1,57,64,Dry,1,10,3,20,11,10,5,5,10,4.2,5,83.2,842,140.33,1,5,6,surveyed before start of Dims project
7,87,82,5,2,3,60,17,0,0,55,0,1,17,1,0,8,0,0,59,23,80,2,80,2,50,27,3,0,1,1,1,37,0,44,12/15/2016,12/15/2016,AL,AL-MP-7,BPSP-South Sauty,Jackson,253034,Alabama_Department_of_Conservation_and_Natural_Resources,"Bucks Pocket State Park, S facing slopes above N shore of the South Sauty Creek, 0.2 mi W of Jackson CR452/DeKalb CR173","Ground burned S-facing rock outcrops and talus w/ mixed hardwoods (Acer saccharum, Carya sp., Carya ovata, Fagus grandifolia, Nyssa sylvatica, Prunus serotina, Quercus spp., and large Liriodendron) and Pinus echinata",Non_calcareous,Sandstone,34.47731,-86.05828,237,40,South_facing,105,2,87,112,Dry,9,6,5,20,15,7,5,3,10,2,4,77,644.5,71.61,2,8,10, 
8,93,90,3,1,4,66,19,0,0,62,0,1,23,0,0,4,0,0,64,26,89,1,89,1,55,26,3,0,5,1,0,44,1,45,12/15/2016,12/15/2016,AL,AL-MP-8,BPSP-Little South Sauty,DeKalb,253034,Alabama_Department_of_Conservation_and_Natural_Resources,"Bucks Pocket State Park, tributary to Little Sauty Creek, SW of DeKalb CR173 0.25 mi NW of jct w/ DeKalb CR557","Shaded, N-facing rock houses and ravine w/ mixed hardwoods (Acer saccharum, Carya sp., Liriodendron, and large Quercus prinus) and Hydrangea understory",Non_calcareous,Sandstone,34.4717,-86.0511,274,0,North_facing,110,2,93,124,Dry,6,6,5,15,15,7,5,5,10,2,4,74,422,140.67,1,9,10, 
9,92,89,3,2,5,70,12,0,0,52,7,0,28,1,0,0,0,1,64,25,87,2,89,0,47,26,8,6,1,1,0,39,5,45,12/17/2016,12/17/2016,AL,AL-MP-9,LRNP-Bear Creek,DeKalb,253033,United_States_National_Park_Service,"Little River National Preserve, Bear Creek 0.16 mi S of AL176/Little River Canyon Parkway, ~2.8 mi N of jct w/ DeKalb CR148","S-facing stream ravine with sandstone cliffs and forest of mixed hardwoods (Acer, Carpinus, Carya, Ilex, Liquidambar, Liriodendron, Quercus) and Pinus taeda with an dense understory of Smilax, Hydrangea and Kalmia",Non_calcareous,Sandstone,34.3736,-85.6922,352,5,South_facing,90,2,92,131,Wet,9,3,5,20,11,10,5,5,10,2,5,76,606,101,1,9,10, 
10,85,85,0,2,8,67,8,0,0,68,6,1,8,2,0,0,0,0,55,30,83,2,83,2,45,25,2,7,6,0,0,34,5,46,12/17/2016,12/17/2016,AL,AL-MP-10,LRNP-Canyon View,Cherokee,253033,United_States_National_Park_Service,"Little River National Preserve, S of Canyon View Forest Rd., 0.4 mi W of jct w/ Cherokee CR681, 2 mi S of jct w/ AL35","Bottomland hardwood (Acer, Carya, Ilex, Liquidambar (dominant), Liriodendron, Quercus) forest with sparse Pinus taeda and understory of Vaccinium and Arundinaria",Non_calcareous,Sandstone,34.36786,-85.62986,367,5,South_facing,45,2,85,110,Wet,2,4,3,15,11,10,5,3,10,2,5,68,348.5,49.79,2,10,12, 
11,83,79,4,1,3,69,6,0,0,56,6,1,13,3,0,0,0,0,59,20,78,1,77,2,48,19,2,8,1,1,3,26,6,44,12/19/2016,12/19/2016,AL,AL-MP-11,LRNP-Dunn,DeKalb,253033,United_States_National_Park_Service,"Little River National Preserve, Dunn Rd. NE W of W shore of Little River, 0.3 mi S of confluence of East Fork and West Fork of the Little River, 2 mi SE of jct of Dunn Rd. NE and Oakhill Rd. NE","Medium tier canopy mixed acid forest (Acer saccharum, Carya, Ilex, Pinus virginiana, Prunus serotina, Quercus alba, Q. falcata, Q. prinus) with Vaccinium understory over sandy soils",Non_calcareous,Sandstone,34.45592,-85.58447,398,15,East_facing,50,2,83,115,Dry,2,4,3,15,11,10,5,3,8,4.2,5,68.2,669.5,111.58,2,12,14, 
12,17,17,0,0,0,11,6,0,0,17,0,0,0,0,0,0,0,0,13,4,17,0,17,0,13,4,0,0,0,0,0,3,0,14,12/19/2016,12/19/2016,AL,AL-MP-12,LRNP-Marthas Falls,Cherokee,253033,United_States_National_Park_Service,"Little River National Preserve, above W shore of Little River, N of Martha’s Falls, 0.16 mi SW of int of AL35 and Cherokee CR861","Severely burned mixed conifer (Pinus virginiana, P. taeda) and hardwood (Acer rubrum, Quercus alba, Liriodendron, Liquidambar, Ostrya) forest with absolutely nothing alive in the understory",Non_calcareous,Sandstone,34.38944,-85.61956,371,0,Flat,10,2,17,19,Dry,0,4,2,0,11,5,0,0,8,4.2,5,39.2,735,66.82,0,9,9, 
13,102,99,3,0,11,75,13,0,0,72,1,0,25,0,0,1,0,0,62,37,99,0,98,1,53,36,2,1,6,1,1,49,1,48,12/19/2016,12/19/2016,AL,AL-MP-13,LRNP-Eberhart,DeKalb,253033,United_States_National_Park_Service,"Little River National Preserve, E facing slopes above W shore of Little River, Eberhart Trail 0.2 mi S of AL176/Little River Canyon Parkway, 0.2 mi N of jct w/ DeKalb CR148","Steep slope with sparse talus, abundant rock outcrops, and mixed hardwood (Acer saccharum, Carya, Liriodendron, Nyssa, Prunus serotina) – conifer (Pinus taeda, P. virginiana) forest",Non_calcareous,Sandstone,34.35056,-85.67525,342,30,South_facing,75,2,102,133,Dry,6,4,3,15,11,10,3,3,8,2,5,64,538,67.25,1,9,10, 
14,87,86,1,1,8,62,15,0,0,70,2,1,1,0,0,12,0,0,50,36,85,1,85,1,44,36,1,0,4,1,1,40,0,45,12/21/2016,12/21/2016,AL,AL-MP-14,Russell Cave,Jackson,253037,United_States_National_Park_Service,"Russell Cave National Monument, Nature Trail 0.1 mi SW of visitor center","N-facing cove hardwood (dominated by Carya ovata and Acer saccharum, with Aesculus, Carpinus, Fraxinus, Prunus, Quercus, Ulmus) forest with sparse Juniperus communis amidst extensive limestone outcrops",Calcareous,Limestone,34.97797,-85.81031,223,10,North_facing,75,2,87,135,Dry,6,6,5,15,11,10,5,5,10,7.5,5,79.5,913,91.3,0,11,11, 
15,97,95,2,3,11,62,19,0,0,66,4,2,2,2,1,17,0,1,63,32,92,3,93,2,51,33,3,4,3,1,1,31,4,59,12/21/2016,12/21/2016,AL,AL-MP-15,JMS-Little Coon Creek,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin-Skyline Wildlife Management Area, S shore of Little Coon Creek, S of Jackson CR54/Little Coon Rd., 4.5 mi N of jct w/ Jackson CR566","Steep N-facing conglomerate cliffs above creek with mixed hardwood (dominated by Aesculus and Fagus, with Ilex, Liquidambar, Liriodendron, Ostrya, Quercus) and Juniperus communis forest amidst limestone outcrops",Calcareous,Limestone,34.95553,-85.99956,233,60,North_facing,80,2,97,137,Dry,8,10,5,20,9,10,5,5,10,4.6,5,83.6,579.5,72.44,0,12,12, 
16,19,19,0,0,0,19,0,0,0,19,0,0,0,0,0,0,0,0,6,13,19,0,19,0,6,12,1,0,0,0,1,10,0,8,12/21/2016,12/21/2016,AL,AL-MP-16,JMS-Little Coon Road,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin-Skyline Wildlife Management Area, N of Jackson CR54/Little Coon Rd., 2.6 mi N of jct w/ Jackson CR566","Ruderal powerline cut through Juniperus dominated forest, overrun with Ligustrum",Non_calcareous,Sandstone,34.94025,-85.97656,204,5,South_facing,10,2,19,25,Dry,0,3,2,5,0,5,3,0,8,2.6,4,32.6,321,80.25,1,2,3, 
